t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,1740.95,2421.758,-6404.588,-4.162,6.131,1.269,0.0,SENSING
0.0,1740.95,2421.758,-6404.588,-4.162,6.131,1.269,0.0,MANEUVERING
0.0,1740.95,2421.758,-6404.588,-4.162,6.131,1.269,0.0,LISTENING
12.2,1690.074,2496.306,-6388.58,-4.185,6.097,1.357,-12.2,MANEUVERING
12.2,1690.074,2496.306,-6388.58,-4.185,6.097,1.357,-12.2,SENSING
12.2,1690.074,2496.306,-6388.58,-4.185,6.097,1.357,-12.2,MANEUVERING
12.2,1690.074,2496.306,-6388.58,-4.185,6.097,1.357,-12.2,LISTENING
20.0,1657.399,2543.746,-6377.782,-4.2,6.075,1.413,-20.0,MANEUVERING
20.0,1657.399,2543.746,-6377.782,-4.2,6.075,1.413,-20.0,SENSING
20.0,1657.399,2543.746,-6377.782,-4.2,6.075,1.413,-20.0,MANEUVERING
20.0,1657.399,2543.746,-6377.782,-4.2,6.075,1.413,-20.0,LISTENING
21.428,1651.404,2552.414,-6375.758,-4.203,6.071,1.423,-21.428,MANEUVERING
21.428,1651.404,2552.414,-6375.758,-4.203,6.071,1.423,-21.428,SENSING
21.428,1651.404,2552.414,-6375.758,-4.203,6.071,1.423,-21.428,MANEUVERING
21.428,1651.404,2552.414,-6375.758,-4.203,6.071,1.423,-21.428,LISTENING
30.0,1615.341,2604.314,-6363.298,-4.219,6.046,1.485,-30.0,MANEUVERING
30.0,1615.341,2604.314,-6363.298,-4.219,6.046,1.485,-30.0,SENSING
30.0,1615.341,2604.314,-6363.298,-4.219,6.046,1.485,-30.0,MANEUVERING
30.0,1615.341,2604.314,-6363.298,-4.219,6.046,1.485,-30.0,LISTENING
30.108,1614.886,2604.966,-6363.138,-4.219,6.046,1.486,-30.108,MANEUVERING
30.108,1614.886,2604.966,-6363.138,-4.219,6.046,1.486,-30.108,SENSING
30.108,1614.886,2604.966,-6363.138,-4.219,6.046,1.486,-30.108,MANEUVERING
30.108,1614.886,2604.966,-6363.138,-4.219,6.046,1.486,-30.108,LISTENING
32.361,1605.384,2618.573,-6359.773,-4.223,6.039,1.502,-32.361,MANEUVERING
32.361,1605.384,2618.573,-6359.773,-4.223,6.039,1.502,-32.361,SENSING
32.361,1605.384,2618.573,-6359.773,-4.223,6.039,1.502,-32.361,MANEUVERING
32.361,1605.384,2618.573,-6359.773,-4.223,6.039,1.502,-32.361,LISTENING
34.532,1596.219,2631.669,-6356.496,-4.227,6.033,1.518,-34.532,MANEUVERING
34.532,1596.219,2631.669,-6356.496,-4.227,6.033,1.518,-34.532,SENSING
34.532,1596.219,2631.669,-6356.496,-4.227,6.033,1.518,-34.532,MANEUVERING
34.532,1596.219,2631.669,-6356.496,-4.227,6.033,1.518,-34.532,LISTENING
35.154,1593.592,2635.418,-6355.552,-4.228,6.031,1.522,-35.154,MANEUVERING
