t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,SENSING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MESSAGING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,SENSING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,LISTENING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,SENSING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,LISTENING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,SENSING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,LISTENING
12.2,2485.33,6280.49,-2327.419,-3.678,-0.944,-6.392,-12.2,MANEUVERING
12.2,2485.33,6280.49,-2327.419,-3.678,-0.944,-6.392,-12.2,SENSING
12.2,2485.33,6280.49,-2327.419,-3.678,-0.944,-6.392,-12.2,MANEUVERING
12.2,2485.33,6280.49,-2327.419,-3.678,-0.944,-6.392,-12.2,LISTENING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,MANEUVERING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,SENSING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,MANEUVERING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,LISTENING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,MANEUVERING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,SENSING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,MANEUVERING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-20.0,LISTENING
21.428,2451.326,6271.483,-2386.264,-3.703,-1.007,-6.368,-21.428,MANEUVERING
21.428,2451.326,6271.483,-2386.264,-3.703,-1.007,-6.368,-21.428,SENSING
21.428,2451.326,6271.483,-2386.264,-3.703,-1.007,-6.368,-21.428,MANEUVERING
21.428,2451.326,6271.483,-2386.264,-3.703,-1.007,-6.368,-21.428,LISTENING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,MANEUVERING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,SENSING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,MANEUVERING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,LISTENING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,MANEUVERING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,SENSING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,MANEUVERING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-30.0,LISTENING
30.108,2419.134,6262.479,-2441.411,-3.726,-1.066,-6.345,-30.108,MANEUVERING
30.108,2419.134,6262.479,-2441.411,-3.726,-1.066,-6.345,-30.108,SENSING
30.108,2419.134,6262.479,-2441.411,-3.726,-1.066,-6.345,-30.108,TRAVELING
30.108,2419.134,6262.479,-2441.411,-3.726,-1.066,-6.345,-30.108,LISTENING
32.361,2410.744,6260.057,-2455.694,-3.732,-1.082,-6.339,-30.108,TRAVELING
32.361,2410.744,6260.057,-2455.694,-3.732,-1.082,-6.339,-30.108,SENSING
32.361,2410.744,6260.057,-2455.694,-3.732,-1.082,-6.339,-30.108,TRAVELING
32.361,2410.744,6260.057,-2455.694,-3.732,-1.082,-6.339,-30.108,LISTENING
34.532,2402.647,6257.691,-2469.445,-3.737,-1.097,-6.333,-30.108,TRAVELING
34.532,2402.647,6257.691,-2469.445,-3.737,-1.097,-6.333,-30.108,SENSING
34.532,2402.647,6257.691,-2469.445,-3.737,-1.097,-6.333,-30.108,TRAVELING
34.532,2402.647,6257.691,-2469.445,-3.737,-1.097,-6.333,-30.108,LISTENING
35.154,2400.326,6257.007,-2473.381,-3.739,-1.101,-6.332,-30.108,TRAVELING
35.154,2400.326,6257.007,-2473.381,-3.739,-1.101,-6.332,-30.108,SENSING
35.154,2400.326,6257.007,-2473.381,-3.739,-1.101,-6.332,-30.108,TRAVELING
35.154,2400.326,6257.007,-2473.381,-3.739,-1.101,-6.332,-30.108,LISTENING
