routine,t_avg,t_std,t_med,n
check_action_statuses,0.008,0.027,0.0,1553
update_state,0.0,0.002,0.0,1553
sense_environment,0.194,0.115,0.194,1552
update_state_environment,0.002,0.014,0.0,1552
get_environment_broadcasts,0.0,0.0,0.0,1552
get_agent_broadcasts,0.0,0.001,0.0,1552
sense,0.204,0.12,0.206,1552
think,0.305,4.905,0.107,1552
perform_broadcast,0.014,0.041,0.0,272
do,0.686,0.878,0.174,1552
perform_wait_for_messages,0.754,0.894,0.236,1398
perform_state_change,0.76,0.898,0.237,1381
perform_measurement,0.069,0.059,0.052,71
