plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0.0,c475d7ea,1,60.0,0.111
0,0.0,c475d80a,1,180.0,0.111
1,0.0,c475d7ea,1,60.0,0.111
1,0.0,c475d80a,1,180.0,0.111
2,0.0,c475d7ea,1,60.0,0.111
2,0.0,c475d80a,1,180.0,0.111
3,0.0,c475d7ea,1,60.0,0.111
3,0.0,c475d80a,1,180.0,0.111
4,0.0,c475d7ea,1,60.0,0.111
4,0.0,c475d80a,1,180.0,0.111
5,0.0,c475d7ea,1,60.0,0.111
5,0.0,c475d80a,1,180.0,0.111
6,0.0,c475d7ea,1,60.0,0.111
6,0.0,c475d80a,1,180.0,0.111
7,0.0,c475d7ea,1,60.0,0.111
7,0.0,c475d80a,1,180.0,0.111
8,0.0,c475d7ea,1,60.0,0.111
8,0.0,c475d80a,1,180.0,0.111
9,0.0,c475d7ea,1,60.0,0.111
9,0.0,c475d80a,1,180.0,0.111
10,0.0,c475d7ea,1,60.0,0.111
10,0.0,c475d80a,1,180.0,0.111
11,60.0,c475d80a,1,180.0,0.111
11,60.0,c475d7fc,1,210.0,0.111
12,180.0,c475d7fc,1,210.0,0.111
12,180.0,c475d7d6,1,300.0,0.111
13,210.0,c475d7d6,1,300.0,0.111
13,210.0,c475d80f,1,690.0,0.11
14,300.0,c475d80f,1,690.0,0.11
14,300.0,c475d7ce,1,5390.0,0.104
15,690.0,c475d7ce,1,5390.0,0.104
15,690.0,c475d7c3,1,6350.0,0.103
16,5390.0,c475d7c3,1,6350.0,0.103
16,5390.0,c475d7c5,1,6380.0,0.103
17,6350.0,c475d7c5,1,6380.0,0.103
17,6350.0,c475d80e,1,6960.0,0.102
18,6380.0,c3937b14,1,6390.0,1.174
18,6380.0,c475d80e,1,6960.0,0.102
19,6390.0,c475d80e,1,6960.0,0.102
19,6390.0,c475d80d,1,7160.0,0.102
20,6960.0,c475d80d,1,7160.0,0.102
20,6960.0,c475d816,1,12190.0,0.095
21,7160.0,4564087a,1,7170.0,1.012
21,7160.0,c475d816,1,12190.0,0.095
22,7170.0,c475d816,1,12190.0,0.095
22,7170.0,c475d7d2,1,12300.0,0.095
23,12190.0,c475d7d2,1,12300.0,0.095
23,12190.0,c475d818,1,12320.0,0.095
24,12300.0,c475d818,1,12320.0,0.095
24,12300.0,c475d7df,1,12440.0,0.095
25,12320.0,c475d7df,1,12440.0,0.095
25,12320.0,c475d7dc,1,13060.0,0.094
26,12440.0,c475d7dc,1,13060.0,0.094
26,12440.0,c475d7bc,1,13120.0,0.094
27,13060.0,c475d7bc,1,13120.0,0.094
27,13060.0,c475d811,1,13250.0,0.094
28,13120.0,c475d811,1,13250.0,0.094
28,13120.0,c475d81b,1,16300.0,0.09
29,13250.0,c475d81b,1,16300.0,0.09
29,13250.0,c475d7cd,1,16600.0,0.09
30,16300.0,15763c06,1,16310.0,0.281
30,16300.0,c475d7cd,1,16600.0,0.09
31,16310.0,c475d7cd,1,16600.0,0.09
31,16310.0,c475d814,1,19010.0,0.087
32,16600.0,c475d814,1,19010.0,0.087
32,16600.0,c475d7e1,1,19120.0,0.087
33,19010.0,c475d7e1,1,19120.0,0.087
33,19010.0,c475d7e8,1,19170.0,0.086
34,19120.0,c475d7e8,1,19170.0,0.086
34,19120.0,c475d7e0,1,19410.0,0.086
35,19170.0,c475d7e0,1,19410.0,0.086
35,19170.0,c475d7f2,1,25110.0,0.079
36,19410.0,c475d7f2,1,25110.0,0.079
36,19410.0,c475d7f9,1,25230.0,0.079
37,25110.0,c475d7f9,1,25230.0,0.079
37,25110.0,c475d7b9,1,29760.0,0.073
38,25230.0,c475d7b9,1,29760.0,0.073
38,25230.0,c475d7ba,1,29790.0,0.073
39,29760.0,c475d7ba,1,29790.0,0.073
39,29760.0,c475d7c0,1,29850.0,0.073
40,29790.0,c475d7c0,1,29850.0,0.073
40,29790.0,c475d810,1,29930.0,0.073
