plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0.0,8806ecef,2,2370.0,0.324
0,0.0,8806ed0f,2,2410.0,0.324
0,0.0,8806ed0d,2,2450.0,0.324
1,0.0,8806ecef,2,2370.0,0.324
1,0.0,8806ed0f,2,2410.0,0.324
1,0.0,8806ed0d,2,2450.0,0.324
2,0.0,8806ed0f,2,2400.0,0.324
3,0.0,8806ed0f,2,2400.0,0.324
4,0.0,8806ed0f,2,2400.0,0.324
5,0.0,8806ed0f,2,2400.0,0.324
6,20.0,8806ed0f,2,2400.0,0.324
7,20.0,8806ed0f,2,2400.0,0.324
8,20.0,8806ed0f,2,2400.0,0.324
9,60.0,8806ed0f,2,2400.0,0.324
10,60.0,8806ed0f,2,2400.0,0.324
11,60.0,8806ed0f,2,2400.0,0.324
12,140.0,8806ed0f,2,2400.0,0.324
13,140.0,8806ed0f,2,2400.0,0.324
14,140.0,8806ed0f,2,2400.0,0.324
15,180.0,8806ed0f,2,2400.0,0.324
16,180.0,8806ed0f,2,2400.0,0.324
17,180.0,8806ed0f,2,2400.0,0.324
18,180.0,8806ed0f,2,2400.0,0.324
19,200.0,8806ed0f,2,2400.0,0.324
20,200.0,8806ed0f,2,2400.0,0.324
21,200.0,8806ed0f,2,2400.0,0.324
22,210.0,8806ed0f,2,2400.0,0.324
23,210.0,8806ed0f,2,2400.0,0.324
24,210.0,8806ed0f,2,2400.0,0.324
25,230.0,8806ed0f,2,2400.0,0.324
26,230.0,8806ed0f,2,2400.0,0.324
27,230.0,8806ed0f,2,2400.0,0.324
28,300.0,8806ed0f,2,2400.0,0.324
29,300.0,8806ed0f,2,2400.0,0.324
30,300.0,8806ed0f,2,2400.0,0.324
31,370.0,8806ed0f,2,2400.0,0.324
32,370.0,8806ed0f,2,2400.0,0.324
33,370.0,8806ed0f,2,2400.0,0.324
34,370.0,8806ed0f,2,2400.0,0.324
35,410.0,8806ed0f,2,2400.0,0.324
35,410.0,8806ece4,2,2620.0,0.323
36,410.0,8806ed0f,2,2400.0,0.324
36,410.0,8806ece4,2,2620.0,0.323
37,410.0,8806ed0f,2,2400.0,0.324
37,410.0,8806ece4,2,2620.0,0.323
38,630.0,8806ed0f,2,2400.0,0.324
38,630.0,8806ece4,2,2620.0,0.323
39,630.0,8806ed0f,2,2400.0,0.324
39,630.0,8806ece4,2,2620.0,0.323
40,630.0,8806ed0f,2,2400.0,0.324
40,630.0,8806ece4,2,2620.0,0.323
41,640.0,8806ed0f,2,2400.0,0.324
