routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.003,0.038,0.0,727
__check_action_completion,0.0,0.0,0.0,727
preplanner/__get_new_requests,0.0,0.0,0.0,727
preplanner/__update_performed_requests,0.0,0.0,0.0,727
preplanner/_update_access_times,0.035,0.947,0.0,727
preplanner/needs_planning,0.0,0.0,0.0,727
preplanner/_get_available_requests,0.001,0.0,0.001,1
preplanner/_schedule_measurements,215.839,0.0,215.839,1
preplanner/_schedule_broadcasts,1.935,1.868,1.935,2
preplanner/_schedule_maneuvers,29.388,0.0,29.388,1
preplanner/__schedule_periodic_replan,0.459,0.0,0.459,1
preplanner/generate_plan,280.413,0.0,280.413,1
replanner/__get_new_requests,0.0,0.0,0.0,727
replanner/__update_performed_requests,0.001,0.018,0.0,727
replanner/_update_access_times,0.486,3.551,0.0,727
replanner/_schedule_measurements,44.063,6.184,40.563,3
replanner/_schedule_broadcasts,1.166,1.181,0.916,6
replanner/_schedule_maneuvers,20.07,5.089,18.172,3
