plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0.0,8108eb16,0,121.861,0.111
0,0.0,81097d7e,0,213.257,0.111
0,0.0,810ab662,0,10906.591,0.097
0,0.0,8107eb80,0,12917.303,0.094
0,0.0,81087fe6,0,13100.095,0.094
1,121.861,81097d7e,0,213.257,0.111
1,121.861,810ab662,0,10906.591,0.097
1,121.861,8107eb80,0,12917.303,0.094
1,121.861,81087fe6,0,13100.095,0.094
1,121.861,81092446,0,29703.704,0.073
2,213.257,810ab662,0,10906.591,0.097
2,213.257,8107eb80,0,12917.303,0.094
2,213.257,81087fe6,0,13100.095,0.094
2,213.257,81092446,0,29703.704,0.073
2,213.257,810a5e24,0,36802.128,0.064
3,10906.591,8107eb80,0,12917.303,0.094
3,10906.591,81087fe6,0,13100.095,0.094
3,10906.591,81092446,0,29703.704,0.073
3,10906.591,810a5e24,0,36802.128,0.064
3,10906.591,810818f8,0,46429.175,0.051
4,12917.303,81087fe6,0,13100.095,0.094
4,12917.303,81092446,0,29703.704,0.073
4,12917.303,810a5e24,0,36802.128,0.064
4,12917.303,810818f8,0,46429.175,0.051
4,12917.303,8109ab82,0,64312.328,0.028
5,13100.095,81092446,0,29703.704,0.073
5,13100.095,810a5e24,0,36802.128,0.064
5,13100.095,810818f8,0,46429.175,0.051
5,13100.095,8109ab82,0,64312.328,0.028
5,13100.095,810a0596,0,64342.793,0.028
6,29703.704,810a5e24,0,36802.128,0.064
6,29703.704,810818f8,0,46429.175,0.051
6,29703.704,8109ab82,0,64312.328,0.028
6,29703.704,810a0596,0,64342.793,0.028
7,36802.128,810818f8,0,46429.175,0.051
7,36802.128,8109ab82,0,64312.328,0.028
7,36802.128,810a0596,0,64342.793,0.028
8,46429.175,8109ab82,0,64312.328,0.028
8,46429.175,810a0596,0,64342.793,0.028
9,64312.328,810a0596,0,64342.793,0.028
