plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0,7e34cb5a,2,310.0,0.333
0,0,7e3cb3ce,2,350.0,0.333
0,0,7e376234,2,570.0,0.333
0,0,7e38e8de,2,580.0,0.333
0,0,7e3b8012,2,630.0,0.333
0,0,7e3d471c,2,670.0,0.333
0,0,7e397542,2,1630.0,0.333
0,0,7e37e362,2,1780.0,0.333
0,0,7e2f0116,2,6390.0,0.333
0,0,7e3a523c,2,6440.0,0.333
0,0,7e30ce88,2,6470.0,0.333
0,0,7e3892e4,2,6530.0,0.333
0,0,7e31d724,2,6550.0,0.333
0,0,7e32b57c,2,6560.0,0.333
0,0,7e35a9f8,2,6610.0,0.333
0,0,7e2ea022,2,7800.0,0.333
0,0,7e3aa98a,2,7860.0,0.333
0,0,7e2fbc00,2,8070.0,0.333
0,0,7e3bab00,2,11370.0,0.333
0,0,7e3aff7a,2,11490.0,0.333
0,0,7e2f61f6,2,12700.0,0.333
0,0,7e3d7282,2,14340.0,0.333
0,0,7e34a03a,2,17310.0,0.333
0,0,7e37371e,2,17360.0,0.333
0,0,7e2c9aca,2,17420.0,0.333
0,0,7e328926,2,17450.0,0.333
0,0,7e3b2a72,2,17590.0,0.333
0,0,7e37b842,2,18270.0,0.333
0,0,7e378d40,2,23110.0,0.333
0,0,7e2e168e,2,23240.0,0.333
0,0,7e3c2f94,2,23360.0,0.333
0,0,7e39cba0,2,28230.0,0.333
0,0,7e30fb74,2,28730.0,0.333
0,0,7e3a7ea6,2,29130.0,0.333
0,0,7e381008,2,29170.0,0.333
0,0,7e31590c,2,29260.0,0.333
0,0,7e3b552e,2,29640.0,0.333
0,0,7e2fe8b0,2,34340.0,0.333
0,0,7e3578fc,2,35270.0,0.333
0,0,7e2de88a,2,35310.0,0.333
0,0,7e33c002,2,35330.0,0.333
0,0,7e2e446a,2,35340.0,0.333
0,0,7e3c8782,2,41150.0,0.333
0,0,7e30a12e,2,41260.0,0.333
0,0,7e3ce754,2,41280.0,0.333
0,0,7e330dd8,2,41400.0,0.333
0,0,7e39a062,2,42570.0,0.333
0,0,7e3365f8,2,48060.0,0.333
0,0,7e3339d4,2,48360.0,0.333
0,0,7e38bddc,2,48820.0,0.333
0,0,7e365948,2,54060.0,0.333
0,0,7e2d30ca,2,54200.0,0.333
0,0,7e2c01aa,2,58720.0,0.333
0,0,7e2c33f0,2,58740.0,0.333
0,0,7e2d0190,2,58760.0,0.333
0,0,7e35215e,2,58960.0,0.333
0,0,7e3d1b20,2,59930.0,0.333
0,0,7e3bd5bc,2,59960.0,0.333
0,0,7e34f666,2,60140.0,0.333
0,0,7e32038e,2,60170.0,0.333
0,0,7e39f8b4,2,64890.0,0.333
0,0,7e362e46,2,65140.0,0.333
0,0,7e325ca8,2,65150.0,0.333
0,0,7e3601aa,2,66620.0,0.333
0,0,7e2f2ef2,2,66740.0,0.333
0,0,7e383b14,2,73150.0,0.333
0,0,7e36844a,2,73160.0,0.333
0,0,7e38660c,2,81080.0,0.333
0,0,7e3043aa,2,83600.0,0.333
0,0,7e36e098,2,83630.0,0.333
