t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,SENSING
0.0,2529.931,6291.502,-2249.289,-3.644,-0.86,-6.422,0.0,MANEUVERING
7.887,2501.145,6284.5,-2299.838,-3.666,-0.914,-6.403,-7.887,MANEUVERING
7.887,2501.145,6284.5,-2299.838,-3.666,-0.914,-6.403,-7.887,SENSING
7.887,2501.145,6284.5,-2299.838,-3.666,-0.914,-6.403,-7.887,TRAVELING
9.052,2496.878,6283.429,-2307.293,-3.669,-0.922,-6.4,-7.887,TRAVELING
9.052,2496.878,6283.429,-2307.293,-3.669,-0.922,-6.4,-7.887,SENSING
9.052,2496.878,6283.429,-2307.293,-3.669,-0.922,-6.4,-7.887,TRAVELING
11.292,2488.663,6281.345,-2321.618,-3.675,-0.937,-6.394,-7.887,TRAVELING
11.292,2488.663,6281.345,-2321.618,-3.675,-0.937,-6.394,-7.887,TRAVELING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-7.887,TRAVELING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-7.887,SENSING
20.0,2456.604,6272.915,-2377.171,-3.699,-0.997,-6.372,-7.887,TRAVELING
20.908,2453.25,6272.007,-2382.951,-3.701,-1.003,-6.37,-7.887,TRAVELING
20.908,2453.25,6272.007,-2382.951,-3.701,-1.003,-6.37,-7.887,TRAVELING
21.259,2451.952,6271.654,-2385.185,-3.702,-1.006,-6.369,-7.887,TRAVELING
21.259,2451.952,6271.654,-2385.185,-3.702,-1.006,-6.369,-7.887,TRAVELING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-7.887,TRAVELING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-7.887,SENSING
30.0,2419.535,6262.594,-2440.726,-3.725,-1.066,-6.346,-7.887,TRAVELING
31.383,2414.386,6261.113,-2449.497,-3.729,-1.075,-6.342,-7.887,TRAVELING
31.383,2414.386,6261.113,-2449.497,-3.729,-1.075,-6.342,-7.887,TRAVELING
32.571,2409.964,6259.831,-2457.021,-3.732,-1.083,-6.339,-7.887,TRAVELING
32.571,2409.964,6259.831,-2457.021,-3.732,-1.083,-6.339,-7.887,TRAVELING
40.436,2380.569,6251.094,-2506.767,-3.753,-1.137,-6.317,-7.887,TRAVELING
40.436,2380.569,6251.094,-2506.767,-3.753,-1.137,-6.317,-7.887,TRAVELING
40.609,2379.92,6250.897,-2507.86,-3.753,-1.138,-6.317,-7.887,TRAVELING
40.609,2379.92,6250.897,-2507.86,-3.753,-1.138,-6.317,-7.887,SENSING
40.609,2379.92,6250.897,-2507.86,-3.753,-1.138,-6.317,-7.887,TRAVELING
42.977,2371.037,6248.181,-2522.805,-3.759,-1.154,-6.31,-7.887,TRAVELING
42.977,2371.037,6248.181,-2522.805,-3.759,-1.154,-6.31,-7.887,TRAVELING
45.681,2360.879,6245.034,-2539.845,-3.766,-1.173,-6.303,-7.887,TRAVELING
45.681,2360.879,6245.034,-2539.845,-3.766,-1.173,-6.303,-7.887,TRAVELING
50.138,2344.09,6239.737,-2567.895,-3.778,-1.203,-6.29,-7.887,TRAVELING
50.138,2344.09,6239.737,-2567.895,-3.778,-1.203,-6.29,-7.887,TRAVELING
52.198,2336.314,6237.243,-2580.84,-3.783,-1.217,-6.285,-7.887,TRAVELING
52.198,2336.314,6237.243,-2580.84,-3.783,-1.217,-6.285,-7.887,TRAVELING
60.0,2306.76,6227.534,-2629.764,-3.803,-1.27,-6.262,-7.887,TRAVELING
60.0,2306.76,6227.534,-2629.764,-3.803,-1.27,-6.262,-7.887,SENSING
60.0,2306.76,6227.534,-2629.764,-3.803,-1.27,-6.262,-7.887,TRAVELING
61.35,2301.632,6225.813,-2638.209,-3.806,-1.279,-6.259,-7.887,TRAVELING
61.35,2301.632,6225.813,-2638.209,-3.806,-1.279,-6.259,-7.887,TRAVELING
80.0,2230.309,6200.758,-2754.364,-3.853,-1.406,-6.204,-7.887,TRAVELING
80.0,2230.309,6200.758,-2754.364,-3.853,-1.406,-6.204,-7.887,TRAVELING
83.314,2217.548,6196.06,-2774.893,-3.861,-1.429,-6.194,-7.887,TRAVELING
83.314,2217.548,6196.06,-2774.893,-3.861,-1.429,-6.194,-7.887,TRAVELING
84.74,2212.047,6194.015,-2783.718,-3.864,-1.438,-6.189,-7.887,TRAVELING
84.74,2212.047,6194.015,-2783.718,-3.864,-1.438,-6.189,-7.887,TRAVELING
130.0,2034.986,6121.994,-3060.478,-3.969,-1.743,-6.045,-7.887,TRAVELING
130.0,2034.986,6121.994,-3060.478,-3.969,-1.743,-6.045,-7.887,TRAVELING
130.886,2031.475,6120.447,-3065.828,-3.971,-1.749,-6.042,-7.887,TRAVELING
130.886,2031.475,6120.447,-3065.828,-3.971,-1.749,-6.042,-7.887,SENSING
130.886,2031.475,6120.447,-3065.828,-3.971,-1.749,-6.042,-7.887,TRAVELING
132.3,2025.864,6117.967,-3074.363,-3.974,-1.758,-6.037,-7.887,TRAVELING
132.3,2025.864,6117.967,-3074.363,-3.974,-1.758,-6.037,-7.887,TRAVELING
140.0,1995.237,6104.227,-3120.723,-3.991,-1.81,-6.011,-7.887,TRAVELING
140.0,1995.237,6104.227,-3120.723,-3.991,-1.81,-6.011,-7.887,TRAVELING
140.96,1991.411,6102.487,-3126.487,-3.993,-1.816,-6.007,-7.887,TRAVELING
140.96,1991.411,6102.487,-3126.487,-3.993,-1.816,-6.007,-7.887,TRAVELING
142.763,1984.216,6099.2,-3137.307,-3.997,-1.828,-6.001,-7.887,TRAVELING
142.763,1984.216,6099.2,-3137.307,-3.997,-1.828,-6.001,-7.887,TRAVELING
160.0,1915.086,6066.692,-3240.183,-4.034,-1.943,-5.941,-7.887,TRAVELING
160.0,1915.086,6066.692,-3240.183,-4.034,-1.943,-5.941,-7.887,TRAVELING
161.897,1907.438,6062.994,-3251.443,-4.038,-1.956,-5.934,-7.887,TRAVELING
161.897,1907.438,6062.994,-3251.443,-4.038,-1.956,-5.934,-7.887,TRAVELING
234.469,1609.554,5903.74,-3672.1,-4.178,-2.431,-5.659,-7.887,TRAVELING
234.469,1609.554,5903.74,-3672.1,-4.178,-2.431,-5.659,-7.887,SENSING
234.469,1609.554,5903.74,-3672.1,-4.178,-2.431,-5.659,-7.887,TRAVELING
250.0,1544.535,5865.204,-3759.457,-4.205,-2.532,-5.596,-7.887,TRAVELING
250.0,1544.535,5865.204,-3759.457,-4.205,-2.532,-5.596,-7.887,TRAVELING
256.496,1517.217,5848.625,-3795.703,-4.216,-2.573,-5.569,-7.887,TRAVELING
256.496,1517.217,5848.625,-3795.703,-4.216,-2.573,-5.569,-7.887,TRAVELING
310.0,1289.671,5701.871,-4087.388,-4.298,-2.912,-5.337,-7.887,TRAVELING
310.0,1289.671,5701.871,-4087.388,-4.298,-2.912,-5.337,-7.887,TRAVELING
315.742,1264.997,5685.05,-4117.946,-4.306,-2.948,-5.311,-7.887,TRAVELING
315.742,1264.997,5685.05,-4117.946,-4.306,-2.948,-5.311,-7.887,TRAVELING
350.0,1116.864,5580.443,-4297.122,-4.351,-3.16,-5.153,-7.887,TRAVELING
350.0,1116.864,5580.443,-4297.122,-4.351,-3.16,-5.153,-7.887,TRAVELING
387.02,955.172,5459.33,-4484.513,-4.394,-3.385,-4.975,-7.887,TRAVELING
387.02,955.172,5459.33,-4484.513,-4.394,-3.385,-4.975,-7.887,TRAVELING
570.0,139.516,4743.866,-5306.344,-4.505,-4.416,-3.985,-7.887,TRAVELING
570.0,139.516,4743.866,-5306.344,-4.505,-4.416,-3.985,-7.887,TRAVELING
571.427,133.097,4737.564,-5312.02,-4.505,-4.423,-3.976,-7.887,TRAVELING
571.427,133.097,4737.564,-5312.02,-4.505,-4.423,-3.976,-7.887,SENSING
571.427,133.097,4737.564,-5312.02,-4.505,-4.423,-3.976,-7.887,TRAVELING
580.0,94.513,4699.47,-5345.875,-4.506,-4.468,-3.926,-7.887,TRAVELING
580.0,94.513,4699.47,-5345.875,-4.506,-4.468,-3.926,-7.887,TRAVELING
585.248,70.892,4675.966,-5366.384,-4.506,-4.495,-3.895,-7.887,TRAVELING
585.248,70.892,4675.966,-5366.384,-4.506,-4.495,-3.895,-7.887,TRAVELING
630.0,-130.57,4469.815,-5534.591,-4.505,-4.721,-3.625,-7.887,TRAVELING
630.0,-130.57,4469.815,-5534.591,-4.505,-4.721,-3.625,-7.887,TRAVELING
631.265,-136.265,4463.84,-5539.171,-4.505,-4.727,-3.617,-7.887,TRAVELING
631.265,-136.265,4463.84,-5539.171,-4.505,-4.727,-3.617,-7.887,TRAVELING
632.997,-144.054,4455.654,-5545.42,-4.505,-4.736,-3.607,-7.887,TRAVELING
632.997,-144.054,4455.654,-5545.42,-4.505,-4.736,-3.607,-7.887,TRAVELING
635.071,-153.39,4445.822,-5552.886,-4.504,-4.746,-3.594,-7.887,TRAVELING
635.071,-153.39,4445.822,-5552.886,-4.504,-4.746,-3.594,-7.887,TRAVELING
670.0,-310.415,4277.178,-5674.578,-4.495,-4.915,-3.377,-7.887,TRAVELING
670.0,-310.415,4277.178,-5674.578,-4.495,-4.915,-3.377,-7.887,TRAVELING
695.152,-423.243,4152.154,-5757.472,-4.485,-5.032,-3.218,-7.887,TRAVELING
695.152,-423.243,4152.154,-5757.472,-4.485,-5.032,-3.218,-7.887,TRAVELING
700.0,-444.962,4127.717,-5772.989,-4.483,-5.054,-3.187,-7.887,TRAVELING
700.0,-444.962,4127.717,-5772.989,-4.483,-5.054,-3.187,-7.887,SENSING
700.0,-444.962,4127.717,-5772.989,-4.483,-5.054,-3.187,-7.887,TRAVELING
701.018,-449.522,4122.57,-5776.23,-4.482,-5.059,-3.18,-7.887,TRAVELING
701.018,-449.522,4122.57,-5776.23,-4.482,-5.059,-3.18,-7.887,TRAVELING
720.0,-534.424,4025.784,-5835.407,-4.472,-5.144,-3.058,-7.887,TRAVELING
720.0,-534.424,4025.784,-5835.407,-4.472,-5.144,-3.058,-7.887,TRAVELING
721.171,-539.656,4019.759,-5838.982,-4.471,-5.15,-3.05,-7.887,TRAVELING
721.171,-539.656,4019.759,-5838.982,-4.471,-5.15,-3.05,-7.887,TRAVELING
760.0,-712.605,3816.617,-5952.454,-4.445,-5.318,-2.796,-7.887,TRAVELING
760.0,-712.605,3816.617,-5952.454,-4.445,-5.318,-2.796,-7.887,TRAVELING
761.618,-719.788,3808.011,-5956.968,-4.443,-5.325,-2.786,-7.887,TRAVELING
761.618,-719.788,3808.011,-5956.968,-4.443,-5.325,-2.786,-7.887,TRAVELING
860.0,-1151.875,3264.924,-6198.42,-4.341,-5.712,-2.121,-7.887,TRAVELING
860.0,-1151.875,3264.924,-6198.42,-4.341,-5.712,-2.121,-7.887,TRAVELING
860.059,-1152.13,3264.59,-6198.544,-4.341,-5.712,-2.12,-7.887,TRAVELING
860.059,-1152.13,3264.59,-6198.544,-4.341,-5.712,-2.12,-7.887,TRAVELING
880.0,-1238.356,3150.036,-6239.426,-4.315,-5.783,-1.982,-7.887,TRAVELING
880.0,-1238.356,3150.036,-6239.426,-4.315,-5.783,-1.982,-7.887,TRAVELING
881.018,-1242.743,3144.151,-6241.439,-4.313,-5.787,-1.975,-7.887,TRAVELING
881.018,-1242.743,3144.151,-6241.439,-4.313,-5.787,-1.975,-7.887,TRAVELING
890.0,-1281.392,3092.064,-6258.888,-4.301,-5.818,-1.912,-7.887,TRAVELING
890.0,-1281.392,3092.064,-6258.888,-4.301,-5.818,-1.912,-7.887,SENSING
890.0,-1281.392,3092.064,-6258.888,-4.301,-5.818,-1.912,-7.887,TRAVELING
890.571,-1283.844,3088.745,-6259.977,-4.3,-5.82,-1.908,-7.887,TRAVELING
890.571,-1283.844,3088.745,-6259.977,-4.3,-5.82,-1.908,-7.887,TRAVELING
930.0,-1452.069,2856.799,-6329.743,-4.24,-5.951,-1.632,-7.887,TRAVELING
