routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,263
_wait_for_messages,0.0,0.0,0.0,263
_preplan,0.035,0.026,0.033,4
_get_next_actions,0.0,0.0,0.0,263
preplanner/__get_new_requests,0.0,0.002,0.0,263
preplanner/__update_performed_requests,0.0,0.0,0.0,263
preplanner/_calc_arrival_times,0.18,0.059,0.182,1241
preplanner/__update_access_times,0.849,6.745,0.0,263
preplanner/needs_initialized_plan,0.85,6.745,0.0,263
preplanner/_get_available_requests,0.0,0.0,0.0,4
preplanner/_plan_from_path,0.011,0.007,0.015,4
preplanner/initialize_plan,0.028,0.021,0.027,4
