routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,257
_wait_for_messages,0.0,0.0,0.0,257
_preplan,0.027,0.009,0.028,4
_get_next_actions,0.0,0.0,0.0,257
preplanner/__get_new_requests,0.0,0.002,0.0,257
preplanner/__update_performed_requests,0.0,0.0,0.0,257
preplanner/_calc_arrival_times,0.188,0.063,0.187,1192
preplanner/__update_access_times,0.872,6.841,0.0,257
preplanner/needs_initialized_plan,0.872,6.841,0.0,257
preplanner/_get_available_requests,0.0,0.0,0.0,4
preplanner/_plan_from_path,0.017,0.009,0.014,4
preplanner/initialize_plan,0.019,0.009,0.017,4
