plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0.0,6c9707fa,1,1410.0,0.109
0,0.0,6c98b69a,1,1620.0,0.109
0,0.0,6c8bc30e,1,2430.0,0.108
0,0.0,6c8c1e8a,1,2440.0,0.108
0,0.0,6c91f40e,1,2580.0,0.108
0,0.0,6c993ab6,1,2740.0,0.108
0,0.0,6c99922c,1,2780.0,0.108
0,0.0,6c9c0804,1,2790.0,0.108
0,0.0,6c93e28c,1,2820.0,0.107
0,0.0,6c92ffde,1,6920.0,0.102
0,0.0,6c8dcbc2,1,8610.0,0.1
0,0.0,6c988940,1,9950.0,0.098
0,0.0,6c9804de,1,10270.0,0.098
0,0.0,6c9cbaec,1,12720.0,0.095
0,0.0,6c96dc3a,1,14670.0,0.092
0,0.0,6c8b6454,1,15500.0,0.091
0,0.0,6c965616,1,15540.0,0.091
0,0.0,6c9baa58,1,15870.0,0.091
0,0.0,6c9a741c,1,21100.0,0.084
0,0.0,6c9279d8,1,21440.0,0.084
0,0.0,6c95d218,1,21490.0,0.083
0,0.0,6c8cda00,1,21530.0,0.083
0,0.0,6c8e97fa,1,21570.0,0.083
0,0.0,6c96afc6,1,21650.0,0.083
0,0.0,6c935cea,1,27450.0,0.076
0,0.0,6c8c7e0c,1,27510.0,0.076
0,0.0,6c911228,1,27610.0,0.076
0,0.0,6c940eb0,1,27620.0,0.076
0,0.0,6c900f2c,1,27880.0,0.075
0,0.0,6c990ea6,1,28360.0,0.075
0,0.0,6c9aa158,1,32780.0,0.069
0,0.0,6c92d202,1,33160.0,0.068
0,0.0,6c9c6330,1,33310.0,0.068
0,0.0,6c9b2678,1,33340.0,0.068
0,0.0,6c8ef754,1,34120.0,0.067
0,0.0,6c92a638,1,38040.0,0.062
0,0.0,6c9a47bc,1,38190.0,0.062
0,0.0,6c8d0732,1,38940.0,0.061
0,0.0,6c8cac7e,1,38970.0,0.061
0,0.0,6c92221c,1,38980.0,0.061
0,0.0,6c949204,1,39000.0,0.061
0,0.0,6c9c345a,1,39080.0,0.061
0,0.0,6c8fb5c2,1,39100.0,0.061
0,0.0,6c9bd6fe,1,39210.0,0.061
1,1630.0,6c8bc30e,1,2430.0,0.108
1,1630.0,6c8c1e8a,1,2440.0,0.108
1,1630.0,6c91f40e,1,2580.0,0.108
1,1630.0,6c993ab6,1,2740.0,0.108
1,1630.0,6c99922c,1,2780.0,0.108
1,1630.0,6c9c0804,1,2790.0,0.108
1,1630.0,6c93e28c,1,2820.0,0.107
1,1630.0,6c92ffde,1,6920.0,0.102
1,1630.0,6c8dcbc2,1,8610.0,0.1
1,1630.0,6c988940,1,9950.0,0.098
1,1630.0,6c9804de,1,10270.0,0.098
1,1630.0,6c9cbaec,1,12720.0,0.095
1,1630.0,6c96dc3a,1,14670.0,0.092
1,1630.0,6c8b6454,1,15500.0,0.091
1,1630.0,6c965616,1,15540.0,0.091
1,1630.0,6c9baa58,1,15870.0,0.091
1,1630.0,6c9a741c,1,21100.0,0.084
1,1630.0,6c9279d8,1,21440.0,0.084
1,1630.0,6c95d218,1,21490.0,0.083
1,1630.0,6c8cda00,1,21530.0,0.083
1,1630.0,6c8e97fa,1,21570.0,0.083
1,1630.0,6c96afc6,1,21650.0,0.083
1,1630.0,6c935cea,1,27450.0,0.076
1,1630.0,6c8c7e0c,1,27510.0,0.076
1,1630.0,6c911228,1,27610.0,0.076
1,1630.0,6c940eb0,1,27620.0,0.076
1,1630.0,6c900f2c,1,27880.0,0.075
1,1630.0,6c990ea6,1,28360.0,0.075
1,1630.0,6c9aa158,1,32780.0,0.069
1,1630.0,6c92d202,1,33160.0,0.068
1,1630.0,6c9c6330,1,33310.0,0.068
1,1630.0,6c9b2678,1,33340.0,0.068
1,1630.0,6c8ef754,1,34120.0,0.067
1,1630.0,6c92a638,1,38040.0,0.062
1,1630.0,6c9a47bc,1,38190.0,0.062
1,1630.0,6c8d0732,1,38940.0,0.061
1,1630.0,6c8cac7e,1,38970.0,0.061
1,1630.0,6c92221c,1,38980.0,0.061
1,1630.0,6c949204,1,39000.0,0.061
1,1630.0,6c9c345a,1,39080.0,0.061
1,1630.0,6c8fb5c2,1,39100.0,0.061
1,1630.0,6c9bd6fe,1,39210.0,0.061
2,2430.995,6c8c1e8a,1,2440.0,0.108
2,2430.995,6c91f40e,1,2580.0,0.108
2,2430.995,6c993ab6,1,2740.0,0.108
2,2430.995,6c99922c,1,2780.0,0.108
2,2430.995,6c9c0804,1,2790.0,0.108
2,2430.995,6c93e28c,1,2820.0,0.107
2,2430.995,6c92ffde,1,6920.0,0.102
2,2430.995,6c8dcbc2,1,8610.0,0.1
2,2430.995,6c988940,1,9950.0,0.098
2,2430.995,6c9804de,1,10270.0,0.098
2,2430.995,6c9cbaec,1,12720.0,0.095
2,2430.995,6c96dc3a,1,14670.0,0.092
2,2430.995,6c8b6454,1,15500.0,0.091
2,2430.995,6c965616,1,15540.0,0.091
2,2430.995,6c9baa58,1,15870.0,0.091
2,2430.995,6c9a741c,1,21100.0,0.084
2,2430.995,6c9279d8,1,21440.0,0.084
2,2430.995,6c95d218,1,21490.0,0.083
2,2430.995,6c8cda00,1,21530.0,0.083
2,2430.995,6c8e97fa,1,21570.0,0.083
2,2430.995,6c96afc6,1,21650.0,0.083
2,2430.995,6c935cea,1,27450.0,0.076
2,2430.995,6c8c7e0c,1,27510.0,0.076
2,2430.995,6c911228,1,27610.0,0.076
2,2430.995,6c940eb0,1,27620.0,0.076
2,2430.995,6c900f2c,1,27880.0,0.075
2,2430.995,6c990ea6,1,28360.0,0.075
2,2430.995,6c9aa158,1,32780.0,0.069
2,2430.995,6c92d202,1,33160.0,0.068
2,2430.995,6c9c6330,1,33310.0,0.068
2,2430.995,6c9b2678,1,33340.0,0.068
2,2430.995,6c8ef754,1,34120.0,0.067
2,2430.995,6c92a638,1,38040.0,0.062
2,2430.995,6c9a47bc,1,38190.0,0.062
2,2430.995,6c8d0732,1,38940.0,0.061
2,2430.995,6c8cac7e,1,38970.0,0.061
2,2430.995,6c92221c,1,38980.0,0.061
2,2430.995,6c949204,1,39000.0,0.061
2,2430.995,6c9c345a,1,39080.0,0.061
2,2430.995,6c8fb5c2,1,39100.0,0.061
2,2430.995,6c9bd6fe,1,39210.0,0.061
3,2446.045,6c91f40e,1,2580.0,0.108
3,2446.045,6c993ab6,1,2740.0,0.108
3,2446.045,6c99922c,1,2780.0,0.108
3,2446.045,6c9c0804,1,2790.0,0.108
3,2446.045,6c93e28c,1,2820.0,0.107
3,2446.045,6c92ffde,1,6920.0,0.102
3,2446.045,6c8dcbc2,1,8610.0,0.1
3,2446.045,6c988940,1,9950.0,0.098
3,2446.045,6c9804de,1,10270.0,0.098
3,2446.045,6c9cbaec,1,12720.0,0.095
3,2446.045,6c96dc3a,1,14670.0,0.092
3,2446.045,6c8b6454,1,15500.0,0.091
3,2446.045,6c965616,1,15540.0,0.091
3,2446.045,6c9baa58,1,15870.0,0.091
3,2446.045,6c9a741c,1,21100.0,0.084
3,2446.045,6c9279d8,1,21440.0,0.084
3,2446.045,6c95d218,1,21490.0,0.083
3,2446.045,6c8cda00,1,21530.0,0.083
3,2446.045,6c8e97fa,1,21570.0,0.083
3,2446.045,6c96afc6,1,21650.0,0.083
3,2446.045,6c935cea,1,27450.0,0.076
3,2446.045,6c8c7e0c,1,27510.0,0.076
3,2446.045,6c911228,1,27610.0,0.076
3,2446.045,6c940eb0,1,27620.0,0.076
3,2446.045,6c900f2c,1,27880.0,0.075
3,2446.045,6c990ea6,1,28360.0,0.075
3,2446.045,6c9aa158,1,32780.0,0.069
3,2446.045,6c92d202,1,33160.0,0.068
3,2446.045,6c9c6330,1,33310.0,0.068
3,2446.045,6c9b2678,1,33340.0,0.068
3,2446.045,6c8ef754,1,34120.0,0.067
3,2446.045,6c92a638,1,38040.0,0.062
3,2446.045,6c9a47bc,1,38190.0,0.062
3,2446.045,6c8d0732,1,38940.0,0.061
3,2446.045,6c8cac7e,1,38970.0,0.061
3,2446.045,6c92221c,1,38980.0,0.061
3,2446.045,6c949204,1,39000.0,0.061
3,2446.045,6c9c345a,1,39080.0,0.061
3,2446.045,6c8fb5c2,1,39100.0,0.061
3,2446.045,6c9bd6fe,1,39210.0,0.061
4,2592.676,6c993ab6,1,2740.0,0.108
4,2592.676,6c99922c,1,2780.0,0.108
4,2592.676,6c9c0804,1,2790.0,0.108
4,2592.676,6c93e28c,1,2820.0,0.107
4,2592.676,6c92ffde,1,6920.0,0.102
4,2592.676,6c8dcbc2,1,8610.0,0.1
4,2592.676,6c988940,1,9950.0,0.098
4,2592.676,6c9804de,1,10270.0,0.098
4,2592.676,6c9cbaec,1,12720.0,0.095
4,2592.676,6c96dc3a,1,14670.0,0.092
4,2592.676,6c8b6454,1,15500.0,0.091
4,2592.676,6c965616,1,15540.0,0.091
4,2592.676,6c9baa58,1,15870.0,0.091
4,2592.676,6c9a741c,1,21100.0,0.084
4,2592.676,6c9279d8,1,21440.0,0.084
4,2592.676,6c95d218,1,21490.0,0.083
4,2592.676,6c8cda00,1,21530.0,0.083
4,2592.676,6c8e97fa,1,21570.0,0.083
4,2592.676,6c96afc6,1,21650.0,0.083
4,2592.676,6c935cea,1,27450.0,0.076
4,2592.676,6c8c7e0c,1,27510.0,0.076
4,2592.676,6c911228,1,27610.0,0.076
4,2592.676,6c940eb0,1,27620.0,0.076
4,2592.676,6c900f2c,1,27880.0,0.075
4,2592.676,6c990ea6,1,28360.0,0.075
4,2592.676,6c9aa158,1,32780.0,0.069
4,2592.676,6c92d202,1,33160.0,0.068
4,2592.676,6c9c6330,1,33310.0,0.068
4,2592.676,6c9b2678,1,33340.0,0.068
4,2592.676,6c8ef754,1,34120.0,0.067
4,2592.676,6c92a638,1,38040.0,0.062
4,2592.676,6c9a47bc,1,38190.0,0.062
4,2592.676,6c8d0732,1,38940.0,0.061
4,2592.676,6c8cac7e,1,38970.0,0.061
4,2592.676,6c92221c,1,38980.0,0.061
4,2592.676,6c949204,1,39000.0,0.061
4,2592.676,6c9c345a,1,39080.0,0.061
4,2592.676,6c8fb5c2,1,39100.0,0.061
4,2592.676,6c9bd6fe,1,39210.0,0.061
5,2744.456,6c99922c,1,2780.0,0.108
5,2744.456,6c9c0804,1,2790.0,0.108
5,2744.456,6c93e28c,1,2820.0,0.107
5,2744.456,6c92ffde,1,6920.0,0.102
5,2744.456,6c8dcbc2,1,8610.0,0.1
5,2744.456,6c988940,1,9950.0,0.098
5,2744.456,6c9804de,1,10270.0,0.098
5,2744.456,6c9cbaec,1,12720.0,0.095
5,2744.456,6c96dc3a,1,14670.0,0.092
5,2744.456,6c8b6454,1,15500.0,0.091
5,2744.456,6c965616,1,15540.0,0.091
5,2744.456,6c9baa58,1,15870.0,0.091
5,2744.456,6c9a741c,1,21100.0,0.084
5,2744.456,6c9279d8,1,21440.0,0.084
5,2744.456,6c95d218,1,21490.0,0.083
5,2744.456,6c8cda00,1,21530.0,0.083
5,2744.456,6c8e97fa,1,21570.0,0.083
5,2744.456,6c96afc6,1,21650.0,0.083
5,2744.456,6c935cea,1,27450.0,0.076
5,2744.456,6c8c7e0c,1,27510.0,0.076
5,2744.456,6c911228,1,27610.0,0.076
5,2744.456,6c940eb0,1,27620.0,0.076
5,2744.456,6c900f2c,1,27880.0,0.075
5,2744.456,6c990ea6,1,28360.0,0.075
5,2744.456,6c9aa158,1,32780.0,0.069
5,2744.456,6c92d202,1,33160.0,0.068
5,2744.456,6c9c6330,1,33310.0,0.068
5,2744.456,6c9b2678,1,33340.0,0.068
5,2744.456,6c8ef754,1,34120.0,0.067
5,2744.456,6c92a638,1,38040.0,0.062
5,2744.456,6c9a47bc,1,38190.0,0.062
5,2744.456,6c8d0732,1,38940.0,0.061
5,2744.456,6c8cac7e,1,38970.0,0.061
5,2744.456,6c92221c,1,38980.0,0.061
5,2744.456,6c949204,1,39000.0,0.061
5,2744.456,6c9c345a,1,39080.0,0.061
5,2744.456,6c8fb5c2,1,39100.0,0.061
5,2744.456,6c9bd6fe,1,39210.0,0.061
6,2780.106,6c9c0804,1,2790.0,0.108
6,2780.106,6c93e28c,1,2820.0,0.107
6,2780.106,6c92ffde,1,6920.0,0.102
6,2780.106,6c8dcbc2,1,8610.0,0.1
6,2780.106,6c988940,1,9950.0,0.098
6,2780.106,6c9804de,1,10270.0,0.098
6,2780.106,6c9cbaec,1,12720.0,0.095
6,2780.106,6c96dc3a,1,14670.0,0.092
6,2780.106,6c8b6454,1,15500.0,0.091
6,2780.106,6c965616,1,15540.0,0.091
6,2780.106,6c9baa58,1,15870.0,0.091
6,2780.106,6c9a741c,1,21100.0,0.084
6,2780.106,6c9279d8,1,21440.0,0.084
6,2780.106,6c95d218,1,21490.0,0.083
