routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.001,0.003,0.0,369
__check_action_completion,0.0,0.0,0.0,369
_preplan,0.848,1.748,0.11,13
preplanner/__get_new_requests,0.0,0.0,0.0,369
preplanner/__update_performed_requests,0.0,0.0,0.0,369
preplanner/_calc_arrival_times,0.021,0.014,0.017,1069
preplanner/__update_access_times,0.061,0.322,0.0,369
preplanner/needs_initialized_plan,0.061,0.322,0.0,369
preplanner/_get_available_requests,0.0,0.0,0.0,13
preplanner/_schedule_maneuvers,0.011,0.007,0.01,13
preplanner/_schedule_broadcasts,0.058,0.025,0.066,13
preplanner/initialize_plan,0.848,1.748,0.109,13
