routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,385
update_state,0.0,0.001,0.0,385
sense_environment,0.034,0.014,0.035,384
update_state_environment,0.0,0.001,0.0,384
get_environment_broadcasts,0.0,0.0,0.0,384
get_agent_broadcasts,0.0,0.0,0.0,384
sense,0.034,0.015,0.036,384
think,0.189,1.32,0.01,384
perform_state_change,0.029,0.064,0.015,280
do,0.029,0.056,0.02,384
perform_measurement,0.02,0.007,0.018,47
perform_wait_for_messages,0.019,0.015,0.014,91
perform_broadcast,0.002,0.003,0.0,70
