plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0.0,cfe70e6b,2,310.0,0.111
0,0.0,cfe70e99,2,350.0,0.111
0,0.0,cfe70e7a,2,570.0,0.11
0,0.0,cfe70e83,2,580.0,0.11
0,0.0,cfe70e92,2,630.0,0.11
0,0.0,cfe70e9c,2,670.0,0.11
0,0.0,cfe70e86,2,1630.0,0.109
0,0.0,cfe70e7d,2,1780.0,0.109
0,0.0,cfe70e4b,2,6390.0,0.103
0,0.0,cfe70e8b,2,6440.0,0.103
0,0.0,cfe70e55,2,6470.0,0.103
0,0.0,cfe70e81,2,6530.0,0.103
0,0.0,cfe70e5a,2,6550.0,0.103
0,0.0,cfe70e5f,2,6560.0,0.103
0,0.0,cfe70e70,2,6610.0,0.103
1,3600.0,cfe70e4b,2,6390.0,0.103
1,3600.0,cfe70e8b,2,6440.0,0.103
1,3600.0,cfe70e55,2,6470.0,0.103
1,3600.0,cfe70e81,2,6530.0,0.103
1,3600.0,cfe70e5a,2,6550.0,0.103
1,3600.0,cfe70e5f,2,6560.0,0.103
1,3600.0,cfe70e70,2,6610.0,0.103
1,3600.0,cfe70e49,2,7800.0,0.101
1,3600.0,cfe70e8d,2,7860.0,0.101
1,3600.0,cfe70e4f,2,8070.0,0.101
2,7200.0,cfe70e49,2,7800.0,0.101
2,7200.0,cfe70e8d,2,7860.0,0.101
2,7200.0,cfe70e4f,2,8070.0,0.101
2,7200.0,cfe70e93,2,11370.0,0.096
2,7200.0,cfe70e8f,2,11490.0,0.096
2,7200.0,cfe70e4d,2,12700.0,0.095
2,7200.0,cfe70e9d,2,14340.0,0.093
3,10800.0,cfe70e93,2,11370.0,0.096
3,10800.0,cfe70e8f,2,11490.0,0.096
3,10800.0,cfe70e4d,2,12700.0,0.095
3,10800.0,cfe70e9d,2,14340.0,0.093
3,10800.0,cfe70e6a,2,17310.0,0.089
3,10800.0,cfe70e79,2,17360.0,0.089
3,10800.0,cfe70e3e,2,17420.0,0.089
3,10800.0,cfe70e5e,2,17450.0,0.089
3,10800.0,cfe70e90,2,17590.0,0.088
4,14400.0,cfe70e6a,2,17310.0,0.089
4,14400.0,cfe70e79,2,17360.0,0.089
4,14400.0,cfe70e3e,2,17420.0,0.089
4,14400.0,cfe70e5e,2,17450.0,0.089
4,14400.0,cfe70e90,2,17590.0,0.088
4,14400.0,cfe70e7c,2,18270.0,0.088
5,18000.0,cfe70e7c,2,18270.0,0.088
5,18000.0,cfe70e7b,2,23110.0,0.081
5,18000.0,cfe70e46,2,23240.0,0.081
5,18000.0,cfe70e96,2,23360.0,0.081
6,21600.0,cfe70e7b,2,23110.0,0.081
6,21600.0,cfe70e46,2,23240.0,0.081
6,21600.0,cfe70e96,2,23360.0,0.081
6,21600.0,cfe70e88,2,28230.0,0.075
6,21600.0,cfe70e56,2,28730.0,0.074
7,25200.0,cfe70e88,2,28230.0,0.075
7,25200.0,cfe70e56,2,28730.0,0.074
7,25200.0,cfe70e8c,2,29130.0,0.074
7,25200.0,cfe70e7e,2,29170.0,0.074
7,25200.0,cfe70e58,2,29260.0,0.073
7,25200.0,cfe70e91,2,29640.0,0.073
8,28800.0,cfe70e8c,2,29130.0,0.074
8,28800.0,cfe70e7e,2,29170.0,0.074
8,28800.0,cfe70e58,2,29260.0,0.073
8,28800.0,cfe70e91,2,29640.0,0.073
8,28800.0,cfe70e50,2,34340.0,0.067
8,28800.0,cfe70e6f,2,35270.0,0.066
8,28800.0,cfe70e45,2,35310.0,0.066
8,28800.0,cfe70e65,2,35330.0,0.066
8,28800.0,cfe70e47,2,35340.0,0.066
9,32400.0,cfe70e50,2,34340.0,0.067
9,32400.0,cfe70e6f,2,35270.0,0.066
9,32400.0,cfe70e45,2,35310.0,0.066
9,32400.0,cfe70e65,2,35330.0,0.066
9,32400.0,cfe70e47,2,35340.0,0.066
10,36000.0,cfe70e98,2,41150.0,0.058
10,36000.0,cfe70e54,2,41260.0,0.058
10,36000.0,cfe70e9a,2,41280.0,0.058
10,36000.0,cfe70e61,2,41400.0,0.058
10,36000.0,cfe70e87,2,42570.0,0.056
11,39600.0,cfe70e98,2,41150.0,0.058
11,39600.0,cfe70e54,2,41260.0,0.058
11,39600.0,cfe70e9a,2,41280.0,0.058
11,39600.0,cfe70e61,2,41400.0,0.058
11,39600.0,cfe70e87,2,42570.0,0.056
