plan_index,t_plan,req_id,subtask_index,t_img,u_exp
0,0,1c39abd8,0,700.0,0.11
0,0,1c3aa0d8,0,720.0,0.11
0,0,1c3aff10,0,760.0,0.11
0,0,1c49a632,0,860.0,0.11
0,0,1c470f94,0,880.0,0.11
0,0,1c4b6828,0,890.0,0.11
0,0,1c431dee,0,940.0,0.11
0,0,1c3e0b06,0,960.0,0.11
0,0,1c40d99e,0,1730.0,0.109
0,0,1c437bea,0,1750.0,0.109
0,0,1c3ba1e0,0,1760.0,0.109
0,0,1c3c0428,0,1770.0,0.109
0,0,1c4194ba,0,1830.0,0.109
0,0,1c462d90,0,1990.0,0.109
0,0,1c489fb2,0,2000.0,0.109
0,0,1c3b731e,0,2150.0,0.108
0,0,1c3fc6b2,0,2250.0,0.108
0,0,1c3f958e,0,6800.0,0.102
0,0,1c43a822,0,6810.0,0.102
0,0,1c4080de,0,6820.0,0.102
0,0,1c46b346,0,6830.0,0.102
0,0,1c442ef0,0,7120.0,0.102
0,0,1c4025c6,0,7130.0,0.102
0,0,1c3e83e2,0,7740.0,0.101
0,0,1c4ab68a,0,7770.0,0.101
0,0,1c3edf2c,0,8370.0,0.1
0,0,1c44029a,0,8600.0,0.1
0,0,1c3cbbd4,0,12890.0,0.095
0,0,1c487474,0,12950.0,0.094
0,0,1c4ae330,0,13000.0,0.094
0,0,1c42c2f4,0,13010.0,0.094
0,0,1c3b3e3a,0,14520.0,0.092
0,0,1c47f350,0,14790.0,0.092
0,0,1c4659a0,0,15130.0,0.092
0,0,1c448d1e,0,15140.0,0.092
0,0,1c45d23c,0,24790.0,0.079
0,0,1c44ed18,0,25610.0,0.078
0,0,1c481e7a,0,31410.0,0.071
0,0,1c3eb1a0,0,31530.0,0.071
0,0,1c40ad48,0,31570.0,0.071
0,0,1c39ddec,0,31640.0,0.07
0,0,1c4261ce,0,32370.0,0.069
0,0,1c484968,0,32550.0,0.069
0,0,1c47c3b2,0,36050.0,0.065
0,0,1c4165e4,0,36330.0,0.064
0,0,1c3c8d9e,0,38270.0,0.062
0,0,1c4105a4,0,42100.0,0.057
0,0,1c49d1ac,0,42390.0,0.057
0,0,1c3d43b0,0,48120.0,0.049
0,0,1c44bf64,0,48200.0,0.049
0,0,1c4131f0,0,48260.0,0.049
0,0,1c428e38,0,48330.0,0.049
0,0,1c40529e,0,48460.0,0.049
0,0,1c494e12,0,48600.0,0.049
0,0,1c3f0ccc,0,53010.0,0.043
0,0,1c4a2b48,0,53050.0,0.043
0,0,1c4bc282,0,53090.0,0.043
0,0,1c3f6802,0,53130.0,0.043
0,0,1c3ddb5e,0,53160.0,0.043
0,0,1c3960e2,0,53300.0,0.043
0,0,1c3ce938,0,53360.0,0.042
0,0,1c451c66,0,53370.0,0.042
0,0,1c420062,0,54070.0,0.042
0,0,1c42351e,0,54100.0,0.042
0,0,1c3ad04e,0,54130.0,0.041
0,0,1c446078,0,54160.0,0.041
0,0,1c4a5668,0,54370.0,0.041
0,0,1c49fcd6,0,60080.0,0.034
0,0,1c4b3be6,0,60110.0,0.034
0,0,1c3f3a9e,0,60270.0,0.034
0,0,1c497aea,0,60650.0,0.033
0,0,1c4b0f68,0,66310.0,0.026
0,0,1c492216,0,67120.0,0.025
0,0,1c41c124,0,70520.0,0.02
0,0,1c45ffb4,0,70940.0,0.02
0,0,1c3a3fbc,0,73090.0,0.017
0,0,1c454a10,0,73100.0,0.017
0,0,1c476aa2,0,73490.0,0.017
0,0,1c3c324a,0,74550.0,0.015
0,0,1c43d5ea,0,74590.0,0.015
0,0,1c434a44,0,74600.0,0.015
0,0,1c468722,0,74610.0,0.015
0,0,1c3c5ffe,0,76740.0,0.012
0,0,1c3bd430,0,79060.0,0.009
0,0,1c4a84e4,0,79400.0,0.009
