routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,158
__check_action_completion,0.0,0.0,0.0,158
preplanner/__get_new_requests,0.0,0.0,0.0,158
preplanner/__update_performed_requests,0.0,0.0,0.0,158
preplanner/_update_access_times,0.013,0.164,0.0,158
preplanner/needs_planning,0.0,0.0,0.0,158
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,2.765,0.0,2.765,1
preplanner/_schedule_broadcasts,0.001,0.001,0.001,2
preplanner/_schedule_maneuvers,0.19,0.0,0.19,1
preplanner/__schedule_periodic_replan,0.1,0.0,0.1,1
preplanner/generate_plan,3.334,0.0,3.334,1
replanner/__get_new_requests,0.0,0.0,0.0,158
replanner/__update_performed_requests,0.0,0.001,0.0,158
replanner/_update_access_times,0.027,0.177,0.003,158
replanner/_schedule_broadcasts,0.001,0.001,0.001,153
