Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291928
Mission Duration [Days] is 0.03321077886481061
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,-4279.507843115135,-308.24512193899136,-5448.304684092186,5.663173306104666,2.1168766307449958,-4.568046928108962
1,-4274.646868080546,-306.4294634729242,-5452.221699449026,5.667558734042408,2.1171928019439497,-4.562458108123885
2,-4269.78213278526,-304.61353365208254,-5456.133917838118,5.67193917545919,2.1175071119792643,-4.556865273992118
3,-4264.9136415094545,-302.79733407280384,-5460.0413358173955,5.676314626513237,2.1178195605734227,-4.55126843061952
4,-4260.041398536573,-300.98086633165207,-5463.943949949021,5.680685083367125,2.118130147450524,-4.545667582915439
5,-4255.165408153369,-299.16413202543714,-5467.841756799357,5.685050542187771,2.118438872336293,-4.540062735792731
6,-4250.285674649882,-297.3471327512034,-5471.734752938981,5.689410999146459,2.1187457349580736,-4.5344538941677275
7,-4245.402202319425,-295.52987010622553,-5475.6229349426985,5.693766450418838,2.1190507350448358,-4.5288410629602485
8,-4240.514995458594,-293.71234568801265,-5479.506299389537,5.698116892184917,2.119353872327169,-4.5232242470935855
9,-4235.624058367259,-291.8945610943046,-5483.384842862744,5.7024623206290705,2.119655146537286,-4.517603451494508
10,-4230.72939534857,-290.0765179230727,-5487.258561949801,5.706802731940045,2.1199545574090237,-4.5119786810932645
11,-4225.831010708924,-288.258217772512,-5491.127453242427,5.7111381223109685,2.1202521046778418,-4.50634994082355
12,-4220.928908758013,-286.43966224105293,-5494.991513336554,5.715468487939334,2.1205477880808226,-4.5007172356225436
13,-4216.023093808763,-284.6208529273442,-5498.850738832373,5.719793825027014,2.1208416073566707,-4.495080570430871
14,-4211.1135701773765,-282.80179143026317,-5502.705126334305,5.724114129780287,2.1211335622457193,-4.4894399501926054
15,-4206.200342183285,-280.9824793489057,-5506.554672451022,5.728429398409792,2.1214236524899213,-4.48379537985528
16,-4201.283414149192,-279.16291828259347,-5510.399373795436,5.732739627130578,2.1217118778328565,-4.478146864369864
17,-4196.362790401039,-277.3431098308669,-5514.239226984707,5.737044812162074,2.121998238019727,-4.472494408690779
18,-4191.438475268,-275.5230555934831,-5518.0742286402565,5.741344949728113,2.122282732797362,-4.466838017775867
19,-4186.510473082499,-273.7027571704191,-5521.904375387755,5.745640036056929,2.1225653619142144,-4.461177696586412
20,-4181.57878818019,-271.88221616186735,-5525.729663857127,5.749930067381157,2.1228461251203634,-4.455513450087127
21,-4176.64342489995,-270.0614341682318,-5529.550090682571,5.7542150399378365,2.1231250221675118,-4.449845283246144
22,-4171.704387583903,-268.24041279013727,-5533.365652502531,5.758494949968421,2.123402052808989,-4.444173201035015
23,-4166.761680577369,-266.41915362841036,-5537.176345959739,5.762769793718777,2.1236772167997517,-4.4384972084287035
24,-4161.8153082289045,-264.5976582840945,-5540.982167701181,5.767039567439185,2.123950513896381,-4.4328173104055955
25,-4156.865274890269,-262.77592835843865,-5544.7831143781295,5.771304267384347,2.1242219438570835,-4.427133511947468
26,-4151.911584916448,-260.95396545290237,-5548.579182646117,5.775563889813391,2.124491506441695,-4.4214458180395075
27,-4146.95424266563,-259.1317711691516,-5552.370369164965,5.779818430989861,2.1247592014116763,-4.415754233670301
28,-4141.993252499196,-257.30934710905296,-5556.156670598776,5.784067887181737,2.1250250285301147,-4.410058763831828
29,-4137.028618781742,-255.4866948746802,-5559.938083615936,5.78831225466144,2.125288987561727,-4.4043594135194475
30,-4132.060345881046,-253.6638160683061,-5563.714604889118,5.79255152970581,2.1255510782728533,-4.398656187731916
31,-4127.088438168091,-251.8407122924077,-5567.486231095286,5.796785708596135,2.125811300431466,-4.3929490914713645
32,-4122.112900017034,-250.01738514965524,-5571.252958915701,5.801014787618151,2.1260696538071615,-4.3872381297433
33,-4117.133735805237,-248.19383624292504,-5575.014785035909,5.805238763062029,2.1263261381711662,-4.381523307556596
34,-4112.150949913229,-246.370067175285,-5578.771706145763,5.809457631222384,2.126580753296334,-4.375804629923518
35,-4107.1645467247145,-244.54607954999614,-5582.52371893942,5.813671388398303,2.1268334989571462,-4.370082101859659
