routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.001,0.0,1484
__check_action_completion,0.0,0.001,0.0,1484
replanner/__get_new_requests,0.0,0.0,0.0,1484
replanner/__update_performed_requests,0.0,0.001,0.0,1484
replanner/_update_access_times,0.146,1.316,0.0,1484
replanner/update_percepts,0.149,1.316,0.0,1484
replanner/compile_external_plan_bids,0.0,0.0,0.0,1484
replanner/compile_new_measurement_request_bids,0.0,0.006,0.0,1484
replanner/check_request_completion,0.0,0.0,0.0,1484
replanner/check_request_end_time,0.0,0.0,0.0,1484
replanner/compare_bids,0.024,0.197,0.001,1484
replanner/consensus_phase,0.024,0.197,0.001,1484
replanner/needs_planning,0.1,0.232,0.049,1484
replanner/_get_available_requests,0.186,0.161,0.129,11
replanner/calc_imaging_time,0.052,0.061,0.021,13
replanner/planning_phase,0.26,0.26,0.191,10
replanner/_schdule_measurements,0.027,0.047,0.004,308
replanner/_schedule_broadcasts,0.16,0.221,0.054,308
replanner/_schedule_maneuvers,0.092,0.12,0.044,308
replanner/_schedule_waits,0.0,0.0,0.0,308
replanner/_plan_from_path,0.28,0.301,0.175,308
replanner/generate_plan,0.411,0.395,0.278,308
