routine,t_avg,t_std,t_med,n
check_action_statuses,0.004,0.017,0.0,1564
update_state,0.0,0.0,0.0,1564
sense_environment,0.298,0.235,0.25,1563
update_state_environment,0.005,0.019,0.0,1563
get_environment_broadcasts,0.0,0.0,0.0,1563
get_agent_broadcasts,0.0,0.004,0.0,1563
sense,0.308,0.244,0.26,1563
think,0.399,1.336,0.193,1563
perform_broadcast,0.018,0.043,0.0,716
do,0.21,0.389,0.113,1563
perform_wait_for_messages,0.254,0.421,0.193,1204
perform_state_change,0.258,0.427,0.191,1144
perform_measurement,0.1,0.106,0.063,44
