t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
280.0,0,4231,15.873,-93.665,sar,1.0,1,0
280.0,0,4231,15.873,-93.665,sar,1.0,1,0
280.0,0,4231,15.873,-93.665,sar,1.0,2,0
280.0,0,4231,15.873,-93.665,sar,1.1555555555555554,0,0
280.0,0,4231,15.873,-93.665,visual,1.0,1,0
280.0,0,4231,15.873,-93.665,visual,1.0,1,0
280.0,0,4231,15.873,-93.665,visual,1.0,2,0
280.0,0,4231,15.873,-93.665,visual,1.1555555555555554,0,0
280.0,0,4231,15.87330300000002,-93.66458299999994,thermal,1.0,1,0
280.0,0,4231,15.87330300000002,-93.66458299999994,thermal,1.0,1,0
280.0,0,4231,15.87330300000002,-93.66458299999994,thermal,1.0,2,0
280.0,0,4231,15.87330300000002,-93.66458299999994,thermal,1.1555555555555554,0,0
300.0,0,602,17.176567000000034,-93.59878699999996,thermal,1.0,1,0
300.0,0,602,17.176567000000034,-93.59878699999996,thermal,1.0,1,0
300.0,0,602,17.176567000000034,-93.59878699999996,thermal,1.0,2,0
300.0,0,602,17.176567000000034,-93.59878699999996,thermal,1.1666666666666667,0,0
300.0,0,602,17.177,-93.599,sar,1.0,1,0
300.0,0,602,17.177,-93.599,sar,1.0,1,0
300.0,0,602,17.177,-93.599,sar,1.0,2,0
300.0,0,602,17.177,-93.599,sar,1.1666666666666667,0,0
300.0,0,602,17.177,-93.599,visual,1.0,1,0
300.0,0,602,17.177,-93.599,visual,1.0,1,0
300.0,0,602,17.177,-93.599,visual,1.0,2,0
300.0,0,602,17.177,-93.599,visual,1.1666666666666667,0,0
320.0,0,3965,17.80066800000003,-92.02604199999996,thermal,1.0,1,0
320.0,0,3965,17.80066800000003,-92.02604199999996,thermal,1.0,1,0
320.0,0,3965,17.80066800000003,-92.02604199999996,thermal,1.0,2,0
320.0,0,3965,17.80066800000003,-92.02604199999996,thermal,1.1777777777777778,0,0
320.0,0,3965,17.801,-92.026,sar,1.0,1,0
320.0,0,3965,17.801,-92.026,sar,1.0,1,0
320.0,0,3965,17.801,-92.026,sar,1.0,2,0
320.0,0,3965,17.801,-92.026,sar,1.1777777777777778,0,0
320.0,0,3965,17.801,-92.026,visual,1.0,1,0
320.0,0,3965,17.801,-92.026,visual,1.0,1,0
320.0,0,3965,17.801,-92.026,visual,1.0,2,0
320.0,0,3965,17.801,-92.026,visual,1.1777777777777778,0,0
330.0,0,3832,18.075560000000053,-92.231454,thermal,1.0,1,0
330.0,0,3832,18.075560000000053,-92.231454,thermal,1.0,1,0
330.0,0,3832,18.075560000000053,-92.231454,thermal,1.0,2,0
330.0,0,3832,18.075560000000053,-92.231454,thermal,1.1833333333333333,0,0
330.0,0,3832,18.076,-92.231,sar,1.0,1,0
330.0,0,3832,18.076,-92.231,sar,1.0,1,0
330.0,0,3832,18.076,-92.231,sar,1.0,2,0
330.0,0,3832,18.076,-92.231,sar,1.1833333333333333,0,0
330.0,0,3832,18.076,-92.231,visual,1.0,1,0
330.0,0,3832,18.076,-92.231,visual,1.0,1,0
330.0,0,3832,18.076,-92.231,visual,1.0,2,0
330.0,0,3832,18.076,-92.231,visual,1.1833333333333333,0,0
500.0,0,883,29.248,-90.68,sar,1.0,1,0
500.0,0,883,29.248,-90.68,sar,1.0,1,0
500.0,0,883,29.248,-90.68,sar,1.0,2,0
500.0,0,883,29.248,-90.68,sar,1.2777777777777777,0,0
500.0,0,883,29.248,-90.68,visual,1.0,1,0
500.0,0,883,29.248,-90.68,visual,1.0,1,0
500.0,0,883,29.248,-90.68,visual,1.0,2,0
500.0,0,883,29.248,-90.68,visual,1.2777777777777777,0,0
500.0,0,883,29.248481000000027,-90.68045299999994,thermal,1.0,1,0
500.0,0,883,29.248481000000027,-90.68045299999994,thermal,1.0,1,0
500.0,0,883,29.248481000000027,-90.68045299999994,thermal,1.0,2,0
500.0,0,883,29.248481000000027,-90.68045299999994,thermal,1.2777777777777777,0,0
510.0,0,449,29.57487500000008,-90.15871499999996,thermal,1.0,1,0
510.0,0,449,29.57487500000008,-90.15871499999996,thermal,1.0,1,0
510.0,0,449,29.57487500000008,-90.15871499999996,thermal,1.0,2,0
510.0,0,449,29.57487500000008,-90.15871499999996,thermal,1.2833333333333332,0,0
510.0,0,449,29.575,-90.159,sar,1.0,1,0
510.0,0,449,29.575,-90.159,sar,1.0,1,0
510.0,0,449,29.575,-90.159,sar,1.0,2,0
510.0,0,449,29.575,-90.159,sar,1.2833333333333332,0,0
510.0,0,449,29.575,-90.159,visual,1.0,1,0
