routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.002,0.0,254
update_state,0.0,0.0,0.0,254
sense_environment,0.082,0.041,0.08,254
update_state_environment,0.001,0.004,0.0,254
get_environment_broadcasts,0.008,0.015,0.0,254
get_agent_broadcasts,0.031,0.05,0.0,254
sense,0.122,0.065,0.118,254
think,0.116,0.138,0.087,253
perform_broadcast,0.002,0.005,0.0,74
do,0.046,0.055,0.029,253
perform_wait_for_messages,0.047,0.062,0.029,172
perform_state_change,0.036,0.032,0.023,78
perform_observation,0.041,0.033,0.031,78
