routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00586,0.02048,1e-05,254
__check_action_completion,8e-05,0.00011,5e-05,254
preplanner/update_percepts,0.0001,0.00061,3e-05,254
preplanner/needs_planning,0.0,1e-05,0.0,254
preplanner/calculate_access_opportunities,0.00426,0.00032,0.00411,3
preplanner/_schedule_observations,0.14172,0.10562,0.08788,3
preplanner/is_observation_path_valid,6e-05,4e-05,9e-05,3
preplanner/_create_broadcast_path,0.01184,0.00088,0.01184,2
preplanner/_schedule_broadcasts,0.04398,0.0313,0.06144,3
preplanner/_schedule_maneuvers,0.06261,0.047,0.04714,3
preplanner/__schedule_periodic_replan,0.00048,0.0003,0.00069,3
preplanner/generate_plan,0.24994,0.11727,0.168,3
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,254
replanner/update_percepts,0.00082,0.00392,6e-05,254
replanner/check_request_completion,0.02275,0.03048,0.00745,254
replanner/check_request_end_time,0.0,0.0,0.0,254
replanner/compare_bids,0.01469,0.02268,0.00398,254
replanner/consensus_phase,0.03745,0.04008,0.01878,254
replanner/is_observation_path_valid,1e-05,0.0,1e-05,540
replanner/is_task_path_valid,2e-05,1e-05,2e-05,258
replanner/needs_planning,0.03756,0.0401,0.01887,254
replanner/_get_available_requests,1e-05,1e-05,1e-05,80
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,4
replanner/_get_matching_request,1e-05,0.0,1e-05,31
replanner/_can_bid,0.0,0.0,0.0,19
replanner/planning_phase,5e-05,0.0,5e-05,2
replanner/merge_plans,0.0003,0.0,0.0003,2
replanner/_schedule_observations,0.00033,0.0,0.00033,2
replanner/_schedule_maneuvers,0.01201,0.01041,0.01201,2
replanner/_create_broadcast_path,0.01164,0.00073,0.01164,2
replanner/_schedule_broadcasts,0.01174,0.00074,0.01174,2
replanner/_schedule_waits,0.0,0.0,0.0,2
replanner/generate_plan,0.02437,0.01115,0.02437,2
