GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
331,610,18.272,-101.892
333,2175,19.623,-101.648
334,164,20.314,-102.794
334,856,19.99,-101.073
334,2681,19.957,-100.973
335,2304,21.84,-104.801
335,3655,20.272,-101.09
336,2403,22.916,-106.068
339,4919,24.91,-104.89
340,3562,25.593,-105.016
343,2131,27.543,-105.415
344,3890,25.704,-99.275
345,4426,26.223,-98.915
346,1419,26.561,-99.168
346,2009,27.51,-100.615
349,1306,29.452,-101.052
349,2837,28.048,-97.869
349,3074,28.485,-98.245
352,2097,30.758,-98.416
352,2706,31.368,-100.523
352,3321,30.393,-97.906
353,3868,30.315,-96.524
353,3953,31.11,-97.474
353,4292,32.585,-101.137
354,3724,31.328,-96.33
355,2343,31.87,-97.37
355,3358,32.869,-98.429
355,3908,32.825,-98.962
356,1118,31.948,-96.103
356,1469,32.182,-96.073
356,3596,32.148,-95.473
356,4218,33.222,-97.833
357,1258,32.815,-95.915
357,1824,32.811,-95.532
357,2110,32.803,-96.502
357,2419,33.356,-97.052
357,2431,33.033,-96.47
357,2532,33.07,-96.97
357,3905,33.763,-98.36
358,670,33.823,-96.573
358,2376,32.752,-94.506
358,4181,33.327,-95.627
358,4321,33.073,-95.003
358,4518,34.24,-98.056
358,4823,35.713,-101.554
359,2002,33.306,-94.162
359,3538,34.011,-95.383
360,1823,33.695,-93.966
360,3112,34.148,-94.684
360,3206,34.631,-95.352
361,484,35.308,-95.358
361,1206,34.574,-93.195
361,1272,35.346,-94.779
361,2036,36.747,-98.14
362,1510,36.424,-95.679
362,1803,35.252,-93.173
362,2120,36.152,-96.256
362,2465,35.871,-95.232
362,2862,36.702,-96.927
362,3474,35.595,-95.037
362,4821,36.35,-96.09
363,1683,36.47,-95.04
363,4286,37.724,-97.802
363,4360,36.64,-94.813
364,1137,36.365,-92.573
364,1468,36.598,-93.312
364,2126,36.252,-92.238
