stat_name,val
Simulation Start Date,2020-01-01 00:00:00+00:00
Simulation End Date,2020-01-02 00:00:00+00:00
Ground Points,5001
Ground Points Observed,1918
Observations,19864
Events,500
Events Detected,10
Events Observed,10
Total Event Observations,62
Events Re-observed,10
Total Event Re-observations,62
Events Co-observed,10
Events Partially Co-observed,10
Events Fully Co-observed,0
Total Event Co-observations,56
P(Event Detected),0.02
P(Event Observed),0.02
P(Event Re-observed),0.02
P(Event Co-observed),0.02
P(Event Partially Co-observed),0.02
P(Event Fully Co-observed),0.0
P(Event at a GP),0.096
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),1.0
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),1.0
P(Event Co-observed Fully | Event Detected),0.0
Total Runtime [s],3659.84
