routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.019,0.048,0.0,4342
__check_action_completion,0.0,0.001,0.0,4342
preplanner/update_percepts,0.001,0.008,0.0,4342
preplanner/needs_planning,0.0,0.0,0.0,4342
preplanner/calculate_access_opportunities,0.51,0.0,0.51,1
preplanner/_schedule_observations,1.264,0.0,1.264,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_create_broadcast_path,0.022,0.0,0.022,1
preplanner/_schedule_broadcasts,1.431,0.0,1.431,1
preplanner/_schedule_maneuvers,7.176,0.0,7.176,1
preplanner/__schedule_periodic_replan,0.201,0.0,0.201,1
preplanner/generate_plan,10.791,0.0,10.791,1
replanner/needs_planning,0.0,0.0,0.0,4342
replanner/_create_broadcast_path,0.022,0.016,0.016,8
