routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.019,0.05,0.0,4388
__check_action_completion,0.0,0.001,0.0,4388
preplanner/update_percepts,0.001,0.006,0.0,4388
preplanner/needs_planning,0.0,0.001,0.0,4388
preplanner/calculate_access_opportunities,0.484,0.0,0.484,1
preplanner/_schedule_observations,2.169,0.0,2.169,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_create_broadcast_path,0.017,0.0,0.017,1
preplanner/_schedule_broadcasts,0.903,0.0,0.903,1
preplanner/_schedule_maneuvers,9.363,0.0,9.363,1
preplanner/__schedule_periodic_replan,0.158,0.0,0.158,1
preplanner/generate_plan,15.38,0.0,15.38,1
replanner/needs_planning,0.0,0.0,0.0,4388
replanner/_create_broadcast_path,0.017,0.002,0.016,8
