plan_index,t_plan,instrument,t_img
0,0.0,visual,610.0
0,0.0,visual,620.0
0,0.0,visual,800.0
0,0.0,visual,820.0
0,0.0,visual,850.0
0,0.0,visual,860.0
0,0.0,visual,900.0
0,0.0,visual,940.0
0,0.0,visual,970.0
0,0.0,visual,990.0
0,0.0,visual,1010.0
0,0.0,visual,1040.0
0,0.0,visual,1050.0
0,0.0,visual,1070.0
0,0.0,visual,1660.0
0,0.0,visual,1680.0
0,0.0,visual,1690.0
0,0.0,visual,1760.0
0,0.0,visual,1780.0
0,0.0,visual,1820.0
0,0.0,visual,1990.0
0,0.0,visual,2160.0
0,0.0,visual,6420.0
0,0.0,visual,6530.0
0,0.0,visual,6790.0
0,0.0,visual,6900.0
0,0.0,visual,6920.0
0,0.0,visual,6930.0
0,0.0,visual,6940.0
0,0.0,visual,7190.0
0,0.0,visual,7330.0
0,0.0,visual,7540.0
0,0.0,visual,7570.0
0,0.0,visual,7820.0
0,0.0,visual,7880.0
0,0.0,visual,8320.0
0,0.0,visual,8350.0
0,0.0,visual,8900.0
0,0.0,visual,9210.0
0,0.0,visual,9230.0
0,0.0,visual,12790.0
0,0.0,visual,12820.0
0,0.0,visual,12880.0
0,0.0,visual,12900.0
0,0.0,visual,12910.0
0,0.0,visual,12960.0
0,0.0,visual,12980.0
0,0.0,visual,12990.0
0,0.0,visual,13000.0
0,0.0,visual,13010.0
0,0.0,visual,13020.0
0,0.0,visual,13030.0
0,0.0,visual,13040.0
0,0.0,visual,13050.0
0,0.0,visual,13060.0
0,0.0,visual,13070.0
0,0.0,visual,13090.0
0,0.0,visual,13100.0
0,0.0,visual,13110.0
0,0.0,visual,13120.0
0,0.0,visual,13130.0
0,0.0,visual,13190.0
0,0.0,visual,13320.0
0,0.0,visual,13430.0
0,0.0,visual,14650.0
0,0.0,visual,14840.0
0,0.0,visual,14870.0
0,0.0,visual,15200.0
0,0.0,visual,15210.0
0,0.0,visual,15320.0
0,0.0,visual,18910.0
0,0.0,visual,18920.0
0,0.0,visual,18960.0
0,0.0,visual,19020.0
0,0.0,visual,19030.0
0,0.0,visual,19050.0
0,0.0,visual,19060.0
0,0.0,visual,19070.0
0,0.0,visual,19080.0
0,0.0,visual,19090.0
0,0.0,visual,19100.0
0,0.0,visual,19140.0
0,0.0,visual,19150.0
0,0.0,visual,19170.0
0,0.0,visual,19200.0
0,0.0,visual,19210.0
0,0.0,visual,19280.0
0,0.0,visual,19380.0
0,0.0,visual,19420.0
0,0.0,visual,23040.0
0,0.0,visual,24830.0
0,0.0,visual,24840.0
0,0.0,visual,24850.0
0,0.0,visual,24880.0
0,0.0,visual,25130.0
0,0.0,visual,25190.0
0,0.0,visual,25200.0
0,0.0,visual,25270.0
0,0.0,visual,25280.0
0,0.0,visual,25290.0
0,0.0,visual,25300.0
0,0.0,visual,25310.0
0,0.0,visual,25320.0
0,0.0,visual,25350.0
0,0.0,visual,25490.0
0,0.0,visual,25500.0
0,0.0,visual,25520.0
0,0.0,visual,25530.0
0,0.0,visual,25540.0
0,0.0,visual,25560.0
0,0.0,visual,25580.0
0,0.0,visual,25590.0
0,0.0,visual,25600.0
0,0.0,visual,25610.0
0,0.0,visual,25630.0
0,0.0,visual,25660.0
0,0.0,visual,25670.0
0,0.0,visual,25680.0
0,0.0,visual,25690.0
0,0.0,visual,25720.0
0,0.0,visual,25760.0
0,0.0,visual,25770.0
0,0.0,visual,25780.0
0,0.0,visual,29070.0
0,0.0,visual,29080.0
0,0.0,visual,29090.0
0,0.0,visual,29290.0
0,0.0,visual,30960.0
0,0.0,visual,31190.0
0,0.0,visual,31200.0
0,0.0,visual,31210.0
0,0.0,visual,31230.0
0,0.0,visual,31270.0
0,0.0,visual,31280.0
0,0.0,visual,31290.0
0,0.0,visual,31300.0
0,0.0,visual,31320.0
0,0.0,visual,31330.0
0,0.0,visual,31340.0
0,0.0,visual,31350.0
0,0.0,visual,31370.0
0,0.0,visual,31380.0
0,0.0,visual,31390.0
0,0.0,visual,31400.0
0,0.0,visual,31410.0
0,0.0,visual,31430.0
0,0.0,visual,31440.0
0,0.0,visual,31450.0
0,0.0,visual,31460.0
0,0.0,visual,31470.0
0,0.0,visual,31590.0
0,0.0,visual,31600.0
0,0.0,visual,31710.0
0,0.0,visual,31750.0
0,0.0,visual,31770.0
0,0.0,visual,31780.0
0,0.0,visual,31810.0
