routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.004,0.0,7066
update_state,0.0,0.0,0.0,7066
sense_environment,0.062,0.035,0.058,7066
update_state_environment,0.0,0.003,0.0,7066
get_environment_broadcasts,0.004,0.011,0.0,7066
get_agent_broadcasts,0.012,0.021,0.0,7066
sense,0.079,0.04,0.074,7066
think,0.142,0.39,0.122,7065
perform_broadcast,0.002,0.007,0.0,1202
do,0.051,0.048,0.04,7065
perform_wait_for_messages,0.05,0.05,0.037,5863
perform_state_change,0.047,0.041,0.037,870
perform_observation,0.052,0.033,0.043,1167
