plan_index,t_plan,instrument,t_img
0,0.0,thermal,3550.0
0,0.0,thermal,3620.0
0,0.0,thermal,3660.0
0,0.0,thermal,3810.0
0,0.0,thermal,3870.0
0,0.0,thermal,4030.0
0,0.0,thermal,4040.0
0,0.0,thermal,4050.0
0,0.0,thermal,4060.0
0,0.0,thermal,4070.0
0,0.0,thermal,4100.0
0,0.0,thermal,4270.0
0,0.0,thermal,4280.0
0,0.0,thermal,4720.0
0,0.0,thermal,4740.0
0,0.0,thermal,4750.0
0,0.0,thermal,4760.0
0,0.0,thermal,4790.0
0,0.0,thermal,5050.0
0,0.0,thermal,5080.0
0,0.0,thermal,9610.0
0,0.0,thermal,9680.0
0,0.0,thermal,9700.0
0,0.0,thermal,9890.0
0,0.0,thermal,9900.0
0,0.0,thermal,9920.0
0,0.0,thermal,9930.0
0,0.0,thermal,9950.0
0,0.0,thermal,9960.0
0,0.0,thermal,9970.0
0,0.0,thermal,9980.0
0,0.0,thermal,10000.0
0,0.0,thermal,10360.0
0,0.0,thermal,10370.0
0,0.0,thermal,10380.0
0,0.0,thermal,10770.0
0,0.0,thermal,10780.0
0,0.0,thermal,10940.0
0,0.0,thermal,10980.0
0,0.0,thermal,11860.0
0,0.0,thermal,11890.0
0,0.0,thermal,12120.0
0,0.0,thermal,12130.0
0,0.0,thermal,12140.0
0,0.0,thermal,15990.0
0,0.0,thermal,16030.0
0,0.0,thermal,16040.0
0,0.0,thermal,16050.0
0,0.0,thermal,16070.0
0,0.0,thermal,16080.0
0,0.0,thermal,16090.0
0,0.0,thermal,16120.0
0,0.0,thermal,16140.0
0,0.0,thermal,16150.0
0,0.0,thermal,16160.0
0,0.0,thermal,16180.0
0,0.0,thermal,16190.0
0,0.0,thermal,16220.0
0,0.0,thermal,16230.0
0,0.0,thermal,16350.0
0,0.0,thermal,16490.0
0,0.0,thermal,18420.0
0,0.0,thermal,21980.0
0,0.0,thermal,21990.0
0,0.0,thermal,22060.0
0,0.0,thermal,22150.0
0,0.0,thermal,22160.0
0,0.0,thermal,22170.0
0,0.0,thermal,22220.0
0,0.0,thermal,22260.0
0,0.0,thermal,22280.0
0,0.0,thermal,22290.0
0,0.0,thermal,22320.0
0,0.0,thermal,22340.0
0,0.0,thermal,26120.0
0,0.0,thermal,26130.0
0,0.0,thermal,26140.0
0,0.0,thermal,26190.0
0,0.0,thermal,26200.0
0,0.0,thermal,26210.0
0,0.0,thermal,28140.0
0,0.0,thermal,28150.0
0,0.0,thermal,28160.0
0,0.0,thermal,28170.0
0,0.0,thermal,28250.0
0,0.0,thermal,28260.0
0,0.0,thermal,28280.0
0,0.0,thermal,28300.0
0,0.0,thermal,28350.0
0,0.0,thermal,28360.0
0,0.0,thermal,28370.0
0,0.0,thermal,28380.0
0,0.0,thermal,28390.0
0,0.0,thermal,28400.0
0,0.0,thermal,28410.0
0,0.0,thermal,28570.0
0,0.0,thermal,28600.0
0,0.0,thermal,28610.0
0,0.0,thermal,28620.0
0,0.0,thermal,28680.0
0,0.0,thermal,28690.0
0,0.0,thermal,28700.0
0,0.0,thermal,28720.0
0,0.0,thermal,28750.0
0,0.0,thermal,28790.0
0,0.0,thermal,29900.0
0,0.0,thermal,32730.0
0,0.0,thermal,33340.0
0,0.0,thermal,34070.0
0,0.0,thermal,34320.0
0,0.0,thermal,34330.0
0,0.0,thermal,34410.0
0,0.0,thermal,34440.0
0,0.0,thermal,34460.0
0,0.0,thermal,34470.0
0,0.0,thermal,34480.0
0,0.0,thermal,34490.0
0,0.0,thermal,34510.0
0,0.0,thermal,34520.0
0,0.0,thermal,34530.0
0,0.0,thermal,34540.0
0,0.0,thermal,34570.0
0,0.0,thermal,34580.0
0,0.0,thermal,34590.0
0,0.0,thermal,34650.0
0,0.0,thermal,34680.0
0,0.0,thermal,34900.0
0,0.0,thermal,34920.0
0,0.0,thermal,34940.0
0,0.0,thermal,35030.0
0,0.0,thermal,35180.0
0,0.0,thermal,35810.0
0,0.0,thermal,36180.0
0,0.0,thermal,36220.0
0,0.0,thermal,38670.0
0,0.0,thermal,38830.0
0,0.0,thermal,38910.0
0,0.0,thermal,39150.0
0,0.0,thermal,39160.0
0,0.0,thermal,39220.0
0,0.0,thermal,39230.0
0,0.0,thermal,39260.0
0,0.0,thermal,40430.0
0,0.0,thermal,40490.0
0,0.0,thermal,40540.0
0,0.0,thermal,40600.0
0,0.0,thermal,40670.0
0,0.0,thermal,40740.0
0,0.0,thermal,40810.0
0,0.0,thermal,40940.0
0,0.0,thermal,41000.0
0,0.0,thermal,42350.0
0,0.0,thermal,42390.0
0,0.0,thermal,45050.0
0,0.0,thermal,45070.0
0,0.0,thermal,45130.0
0,0.0,thermal,45710.0
0,0.0,thermal,45790.0
0,0.0,thermal,46240.0
0,0.0,thermal,46320.0
0,0.0,thermal,51090.0
0,0.0,thermal,51380.0
0,0.0,thermal,56000.0
0,0.0,thermal,56880.0
0,0.0,thermal,56890.0
0,0.0,thermal,56980.0
0,0.0,thermal,57010.0
0,0.0,thermal,57150.0
0,0.0,thermal,57210.0
0,0.0,thermal,57220.0
0,0.0,thermal,57360.0
0,0.0,thermal,57400.0
0,0.0,thermal,57490.0
0,0.0,thermal,57590.0
0,0.0,thermal,57600.0
0,0.0,thermal,57710.0
0,0.0,thermal,62370.0
0,0.0,thermal,63330.0
0,0.0,thermal,63600.0
0,0.0,thermal,63610.0
0,0.0,thermal,63620.0
0,0.0,thermal,63730.0
0,0.0,thermal,63750.0
0,0.0,thermal,63810.0
0,0.0,thermal,64150.0
0,0.0,thermal,69240.0
0,0.0,thermal,69310.0
0,0.0,thermal,69330.0
0,0.0,thermal,69340.0
0,0.0,thermal,69420.0
0,0.0,thermal,69430.0
0,0.0,thermal,69440.0
0,0.0,thermal,69450.0
0,0.0,thermal,69460.0
0,0.0,thermal,69480.0
0,0.0,thermal,69490.0
0,0.0,thermal,70030.0
0,0.0,thermal,70280.0
0,0.0,thermal,70400.0
0,0.0,thermal,73340.0
0,0.0,thermal,73350.0
0,0.0,thermal,73360.0
0,0.0,thermal,73400.0
0,0.0,thermal,73430.0
0,0.0,thermal,73810.0
0,0.0,thermal,75460.0
0,0.0,thermal,75480.0
0,0.0,thermal,75500.0
0,0.0,thermal,75530.0
0,0.0,thermal,75570.0
0,0.0,thermal,75590.0
0,0.0,thermal,75600.0
0,0.0,thermal,75610.0
0,0.0,thermal,75690.0
0,0.0,thermal,75830.0
0,0.0,thermal,75840.0
0,0.0,thermal,76030.0
0,0.0,thermal,76100.0
0,0.0,thermal,77490.0
0,0.0,thermal,80200.0
0,0.0,thermal,81310.0
0,0.0,thermal,81350.0
0,0.0,thermal,81360.0
0,0.0,thermal,81560.0
0,0.0,thermal,81580.0
0,0.0,thermal,81590.0
0,0.0,thermal,81660.0
0,0.0,thermal,81680.0
0,0.0,thermal,81690.0
0,0.0,thermal,81700.0
0,0.0,thermal,81710.0
0,0.0,thermal,81720.0
0,0.0,thermal,81740.0
0,0.0,thermal,81910.0
0,0.0,thermal,82060.0
0,0.0,thermal,82070.0
0,0.0,thermal,82210.0
0,0.0,thermal,82290.0
0,0.0,thermal,82470.0
0,0.0,thermal,82570.0
0,0.0,thermal,86300.0
1,45070.0,thermal,45130.0
1,45070.0,thermal,45710.0
1,45070.0,thermal,45790.0
1,45070.0,thermal,46240.0
1,45070.0,thermal,46320.0
1,45070.0,thermal,51090.0
1,45070.0,thermal,51380.0
1,45070.0,thermal,56000.0
1,45070.0,thermal,56880.0
1,45070.0,thermal,56890.0
1,45070.0,thermal,56980.0
1,45070.0,thermal,57010.0
1,45070.0,thermal,57150.0
1,45070.0,thermal,57210.0
1,45070.0,thermal,57220.0
1,45070.0,thermal,57360.0
1,45070.0,thermal,57400.0
1,45070.0,thermal,57490.0
1,45070.0,thermal,57590.0
1,45070.0,thermal,57600.0
1,45070.0,thermal,57710.0
1,45070.0,thermal,62370.0
1,45070.0,thermal,63330.0
1,45070.0,thermal,63600.0
1,45070.0,thermal,63610.0
1,45070.0,thermal,63620.0
1,45070.0,thermal,63730.0
1,45070.0,thermal,63750.0
1,45070.0,thermal,63810.0
1,45070.0,thermal,64150.0
1,45070.0,thermal,69240.0
1,45070.0,thermal,69310.0
1,45070.0,thermal,69330.0
1,45070.0,thermal,69340.0
1,45070.0,thermal,69420.0
1,45070.0,thermal,69430.0
1,45070.0,thermal,69440.0
1,45070.0,thermal,69450.0
1,45070.0,thermal,69460.0
1,45070.0,thermal,69480.0
1,45070.0,thermal,69490.0
1,45070.0,thermal,70030.0
1,45070.0,thermal,70280.0
1,45070.0,thermal,70400.0
1,45070.0,thermal,73340.0
1,45070.0,thermal,73350.0
1,45070.0,thermal,73360.0
1,45070.0,thermal,73400.0
1,45070.0,thermal,73430.0
1,45070.0,thermal,73810.0
1,45070.0,thermal,75460.0
1,45070.0,thermal,75480.0
1,45070.0,thermal,75500.0
1,45070.0,thermal,75530.0
1,45070.0,thermal,75570.0
1,45070.0,thermal,75590.0
1,45070.0,thermal,75600.0
1,45070.0,thermal,75610.0
1,45070.0,thermal,75690.0
1,45070.0,thermal,75830.0
1,45070.0,thermal,75840.0
1,45070.0,thermal,76030.0
1,45070.0,thermal,76100.0
1,45070.0,thermal,77490.0
1,45070.0,thermal,80200.0
1,45070.0,thermal,81310.0
1,45070.0,thermal,81350.0
1,45070.0,thermal,81360.0
1,45070.0,thermal,81560.0
1,45070.0,thermal,81580.0
1,45070.0,thermal,81590.0
1,45070.0,thermal,81660.0
1,45070.0,thermal,81680.0
1,45070.0,thermal,81690.0
1,45070.0,thermal,81700.0
1,45070.0,thermal,81710.0
1,45070.0,thermal,81720.0
1,45070.0,thermal,81740.0
1,45070.0,thermal,81910.0
1,45070.0,thermal,82060.0
1,45070.0,thermal,82070.0
1,45070.0,thermal,82210.0
1,45070.0,thermal,82290.0
1,45070.0,thermal,82470.0
1,45070.0,thermal,82570.0
1,45070.0,thermal,86300.0
2,63610.0,thermal,63620.0
2,63610.0,thermal,63730.0
2,63610.0,thermal,63750.0
2,63610.0,thermal,63810.0
2,63610.0,thermal,64150.0
2,63610.0,thermal,69240.0
2,63610.0,thermal,69310.0
2,63610.0,thermal,69330.0
2,63610.0,thermal,69340.0
2,63610.0,thermal,69420.0
2,63610.0,thermal,69430.0
2,63610.0,thermal,69440.0
2,63610.0,thermal,69450.0
2,63610.0,thermal,69460.0
2,63610.0,thermal,69480.0
2,63610.0,thermal,69490.0
2,63610.0,thermal,70030.0
2,63610.0,thermal,70280.0
2,63610.0,thermal,70400.0
2,63610.0,thermal,73340.0
2,63610.0,thermal,73350.0
2,63610.0,thermal,73360.0
2,63610.0,thermal,73400.0
2,63610.0,thermal,73430.0
2,63610.0,thermal,73810.0
2,63610.0,thermal,75460.0
2,63610.0,thermal,75480.0
2,63610.0,thermal,75500.0
2,63610.0,thermal,75530.0
2,63610.0,thermal,75570.0
2,63610.0,thermal,75590.0
2,63610.0,thermal,75600.0
2,63610.0,thermal,75610.0
2,63610.0,thermal,75690.0
2,63610.0,thermal,75830.0
