routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.008,0.05,0.0,9921
__check_action_completion,0.0,0.005,0.0,9921
preplanner/update_percepts,0.003,0.019,0.001,9921
preplanner/needs_planning,0.0,0.0,0.0,9921
preplanner/calculate_access_times,1.001,0.0,1.001,1
preplanner/_schedule_observations,363.014,0.0,363.014,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,247.871,0.0,247.871,1
preplanner/_schedule_maneuvers,0.6,0.0,0.6,1
preplanner/__schedule_periodic_replan,0.661,0.0,0.661,1
preplanner/generate_plan,613.088,0.0,613.088,1
replanner/compile_new_measurement_request_bids,0.0,0.008,0.0,9921
replanner/update_percepts,0.019,0.117,0.001,9921
replanner/check_request_completion,0.0,0.002,0.0,9921
replanner/check_request_end_time,0.0,0.0,0.0,9921
replanner/compare_bids,0.002,0.026,0.0,9921
replanner/consensus_phase,0.002,0.026,0.0,9921
replanner/is_observation_path_valid,0.008,0.064,0.001,704343
replanner/needs_planning,0.071,0.31,0.0,9921
replanner/_get_available_requests,1.62,2.004,0.755,1875
replanner/planning_phase,10.406,22.004,3.983,882
replanner/_schedule_observations,5.405,6.898,2.324,882
replanner/_schedule_maneuvers,2.426,4.147,0.328,882
replanner/_schedule_broadcasts,0.34,0.596,0.039,882
replanner/_schedule_waits,0.0,0.0,0.0,882
replanner/generate_plan,18.768,23.703,10.403,882
replanner/calc_imaging_time,0.092,0.149,0.019,292
