plan_index,t_plan,instrument,t_img
2,200.0,thermal,280.0
2,200.0,thermal,300.0
3,300.0,thermal,300.0
3,300.0,thermal,320.0
3,300.0,thermal,330.0
3,300.0,thermal,340.0
4,400.0,thermal,500.0
5,500.0,thermal,500.0
5,500.0,thermal,510.0
5,500.0,thermal,520.0
5,500.0,thermal,560.0
5,500.0,thermal,580.0
5,500.0,thermal,590.0
6,600.0,thermal,630.0
6,600.0,thermal,640.0
6,600.0,thermal,650.0
6,600.0,thermal,680.0
7,700.0,thermal,750.0
7,700.0,thermal,760.0
7,700.0,thermal,780.0
7,700.0,thermal,800.0
8,800.0,thermal,800.0
8,800.0,thermal,810.0
8,800.0,thermal,820.0
8,800.0,thermal,830.0
8,800.0,thermal,840.0
8,800.0,thermal,850.0
8,800.0,thermal,860.0
8,800.0,thermal,870.0
8,800.0,thermal,880.0
8,800.0,thermal,890.0
8,800.0,thermal,900.0
9,860.0,thermal,870.0
9,860.0,thermal,880.0
9,860.0,thermal,890.0
9,860.0,thermal,900.0
10,860.0,thermal,860.0
10,860.0,thermal,870.0
10,860.0,thermal,880.0
10,860.0,thermal,890.0
10,860.0,thermal,900.0
11,860.0,thermal,870.0
11,860.0,thermal,880.0
11,860.0,thermal,890.0
11,860.0,thermal,900.0
12,860.0,thermal,870.0
12,860.0,thermal,880.0
12,860.0,thermal,890.0
12,860.0,thermal,900.0
13,860.0,thermal,870.0
13,860.0,thermal,880.0
13,860.0,thermal,890.0
13,860.0,thermal,900.0
14,860.0,thermal,870.0
14,860.0,thermal,880.0
14,860.0,thermal,890.0
14,860.0,thermal,900.0
15,900.0,thermal,900.0
15,900.0,thermal,910.0
15,900.0,thermal,920.0
15,900.0,thermal,930.0
15,900.0,thermal,940.0
15,900.0,thermal,950.0
15,900.0,thermal,970.0
15,900.0,thermal,980.0
15,900.0,thermal,990.0
15,900.0,thermal,1000.0
16,1000.0,thermal,1000.0
16,1000.0,thermal,1020.0
16,1000.0,thermal,1030.0
16,1000.0,thermal,1040.0
16,1000.0,thermal,1050.0
16,1000.0,thermal,1060.0
16,1000.0,thermal,1070.0
18,1200.0,thermal,1220.0
18,1200.0,thermal,1240.0
20,1400.0,thermal,1440.0
20,1400.0,thermal,1460.0
20,1400.0,thermal,1480.0
22,1600.0,thermal,1640.0
22,1600.0,thermal,1660.0
22,1600.0,thermal,1680.0
22,1600.0,thermal,1690.0
22,1600.0,thermal,1700.0
23,1700.0,thermal,1700.0
23,1700.0,thermal,1710.0
23,1700.0,thermal,1720.0
23,1700.0,thermal,1750.0
23,1700.0,thermal,1760.0
23,1700.0,thermal,1770.0
23,1700.0,thermal,1780.0
23,1700.0,thermal,1790.0
23,1700.0,thermal,1800.0
24,1800.0,thermal,1800.0
24,1800.0,thermal,1810.0
24,1800.0,thermal,1820.0
24,1800.0,thermal,1830.0
24,1800.0,thermal,1850.0
24,1800.0,thermal,1870.0
24,1800.0,thermal,1880.0
24,1800.0,thermal,1900.0
25,1900.0,thermal,1900.0
25,1900.0,thermal,1910.0
25,1900.0,thermal,1990.0
25,1900.0,thermal,2000.0
26,2000.0,thermal,2000.0
26,2000.0,thermal,2040.0
26,2000.0,thermal,2050.0
26,2000.0,thermal,2060.0
26,2000.0,thermal,2070.0
26,2000.0,thermal,2080.0
26,2000.0,thermal,2100.0
27,2100.0,thermal,2100.0
27,2100.0,thermal,2110.0
27,2100.0,thermal,2150.0
27,2100.0,thermal,2160.0
27,2100.0,thermal,2190.0
28,2200.0,thermal,2230.0
28,2200.0,thermal,2240.0
28,2200.0,thermal,2300.0
29,2300.0,thermal,2300.0
29,2300.0,thermal,2330.0
29,2300.0,thermal,2380.0
29,2300.0,thermal,2390.0
29,2300.0,thermal,2400.0
30,2400.0,thermal,2400.0
30,2400.0,thermal,2490.0
70,6400.0,thermal,6450.0
71,6500.0,thermal,6530.0
71,6500.0,thermal,6570.0
71,6500.0,thermal,6580.0
72,6600.0,thermal,6620.0
72,6600.0,thermal,6640.0
72,6600.0,thermal,6680.0
72,6600.0,thermal,6700.0
73,6700.0,thermal,6700.0
73,6700.0,thermal,6750.0
73,6700.0,thermal,6790.0
73,6700.0,thermal,6800.0
74,6800.0,thermal,6800.0
74,6800.0,thermal,6810.0
74,6800.0,thermal,6840.0
74,6800.0,thermal,6860.0
74,6800.0,thermal,6870.0
74,6800.0,thermal,6880.0
74,6800.0,thermal,6890.0
74,6800.0,thermal,6900.0
75,6880.0,thermal,6890.0
75,6880.0,thermal,6900.0
76,6880.0,thermal,6890.0
76,6880.0,thermal,6900.0
77,6880.0,thermal,6890.0
77,6880.0,thermal,6900.0
78,6900.0,thermal,6900.0
78,6900.0,thermal,6910.0
78,6900.0,thermal,6920.0
78,6900.0,thermal,6930.0
78,6900.0,thermal,6940.0
78,6900.0,thermal,6950.0
78,6900.0,thermal,6970.0
78,6900.0,thermal,6990.0
79,6950.0,thermal,6970.0
79,6950.0,thermal,6990.0
80,6950.0,thermal,6950.0
80,6950.0,thermal,6970.0
80,6950.0,thermal,6990.0
81,6950.0,thermal,6970.0
81,6950.0,thermal,6990.0
82,6950.0,thermal,6970.0
82,6950.0,thermal,6990.0
83,6950.0,thermal,6970.0
83,6950.0,thermal,6990.0
84,6950.0,thermal,6970.0
84,6950.0,thermal,6990.0
