observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_sat_0_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
sar_sat_0_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,sar
therm_sat_0_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
therm_sat_0_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
therm_sat_0_2,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
vis_sat_0_2,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
sar_sat_0_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,sar
vis_sat_0_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
vis_sat_0_2,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
vis_sat_0_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
sar_sat_0_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,sar
therm_sat_0_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
therm_sat_0_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
vis_sat_0_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
sar_sat_0_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,sar
therm_sat_0_2,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
therm_sat_0_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
vis_sat_0_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
therm_sat_0_2,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
vis_sat_0_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
therm_sat_0_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
sar_sat_0_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,sar
vis_sat_0_2,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
sar_sat_0_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,sar
vis_sat_0_2,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
therm_sat_0_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
sar_sat_0_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,sar
sar_sat_0_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,sar
therm_sat_0_2,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
vis_sat_0_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
vis_sat_0_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
therm_sat_0_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
therm_sat_0_2,340.0,18.479,-91.796,654.7,-13.86,15.27,,thermal
vis_sat_0_1,340.0,18.479,-91.796,654.7,-13.86,15.27,,visual
vis_sat_0_2,340.0,18.479,-91.796,654.7,-13.86,15.27,,visual
vis_sat_0_0,340.0,18.479,-91.796,654.7,-13.86,15.27,,visual
therm_sat_0_1,340.0,18.479,-91.796,654.7,-13.86,15.27,,thermal
