routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.017,0.0,4422
update_state,0.0,0.0,0.0,4422
sense_environment,0.157,0.085,0.151,4421
update_state_environment,0.002,0.016,0.0,4421
get_environment_broadcasts,0.01,0.024,0.0,4421
get_agent_broadcasts,0.061,0.097,0.0,4421
sense,0.232,0.132,0.214,4421
think,0.216,0.277,0.101,4421
perform_wait_for_messages,0.106,0.137,0.058,3041
do,0.11,0.125,0.076,4421
perform_broadcast,0.005,0.025,0.0,1523
perform_state_change,0.063,0.063,0.039,814
perform_observation,0.135,0.083,0.122,1165
