routine,t_avg,t_std,t_med,n
check_action_statuses,0.004,0.027,0.0,4737
update_state,0.0,0.0,0.0,4737
sense_environment,0.174,0.13,0.156,4737
update_state_environment,0.002,0.015,0.0,4737
get_environment_broadcasts,0.01,0.026,0.0,4737
get_agent_broadcasts,0.068,0.115,0.0,4737
sense,0.259,0.191,0.222,4737
think,0.316,0.547,0.106,4736
perform_broadcast,0.006,0.032,0.0,1693
do,0.115,0.144,0.075,4736
perform_wait_for_messages,0.11,0.142,0.063,3185
perform_state_change,0.071,0.069,0.047,883
perform_observation,0.154,0.146,0.126,1178
