routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.023,0.07,0.0,3473
__check_action_completion,0.0,0.001,0.0,3473
preplanner/update_percepts,0.002,0.01,0.0,3473
preplanner/needs_planning,0.0,0.0,0.0,3473
preplanner/calculate_access_opportunities,1.266,0.0,1.266,1
preplanner/_schedule_observations,2.15,0.0,2.15,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_create_broadcast_path,0.017,0.0,0.017,1
preplanner/_schedule_broadcasts,1.323,0.0,1.323,1
preplanner/_schedule_maneuvers,7.256,0.0,7.256,1
preplanner/__schedule_periodic_replan,0.202,0.0,0.202,1
preplanner/generate_plan,11.474,0.0,11.474,1
replanner/compile_new_measurement_request_bids,0.0,0.003,0.0,3473
replanner/update_percepts,0.029,0.077,0.001,3473
replanner/check_request_completion,0.0,0.004,0.0,3473
replanner/check_request_end_time,0.0,0.0,0.0,3473
replanner/compare_bids,0.0,0.006,0.0,3473
replanner/consensus_phase,0.001,0.007,0.0,3473
replanner/is_observation_path_valid,0.005,0.032,0.001,264762
replanner/_get_available_requests,0.494,0.507,0.409,1383
replanner/needs_planning,1.599,10.222,0.0,3473
replanner/planning_phase,12.353,32.847,0.862,252
replanner/_schedule_observations,3.844,3.335,3.228,252
replanner/_schedule_maneuvers,2.621,2.5,1.848,252
replanner/_create_broadcast_path,0.046,0.078,0.018,284
replanner/_schedule_broadcasts,0.082,0.159,0.026,252
replanner/_schedule_waits,0.0,0.0,0.0,252
replanner/generate_plan,19.482,33.085,9.589,252
replanner/calc_imaging_time,0.075,0.09,0.047,102
