routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.021,0.067,0.0,3856
__check_action_completion,0.0,0.001,0.0,3856
preplanner/update_percepts,0.003,0.017,0.001,3856
preplanner/needs_planning,0.0,0.001,0.0,3856
preplanner/calculate_access_opportunities,0.427,0.0,0.427,1
preplanner/_schedule_observations,1.776,0.0,1.776,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_create_broadcast_path,0.025,0.0,0.025,1
preplanner/_schedule_broadcasts,1.0,0.0,1.0,1
preplanner/_schedule_maneuvers,16.392,0.0,16.392,1
preplanner/__schedule_periodic_replan,0.038,0.0,0.038,1
preplanner/generate_plan,20.708,0.0,20.708,1
replanner/compile_new_measurement_request_bids,0.0,0.004,0.0,3856
replanner/update_percepts,0.031,0.107,0.001,3856
replanner/check_request_completion,0.0,0.004,0.0,3856
replanner/check_request_end_time,0.0,0.003,0.0,3856
replanner/compare_bids,0.001,0.006,0.0,3856
replanner/consensus_phase,0.001,0.008,0.0,3856
replanner/is_observation_path_valid,0.005,0.032,0.001,412721
replanner/_get_available_requests,0.378,0.444,0.228,1554
replanner/needs_planning,1.382,9.611,0.0,3856
replanner/planning_phase,13.951,76.184,0.454,416
replanner/_schedule_observations,3.588,3.066,2.995,416
replanner/_schedule_maneuvers,2.447,2.5,1.367,416
replanner/_create_broadcast_path,0.045,0.091,0.018,440
replanner/_schedule_broadcasts,0.071,0.119,0.025,416
replanner/_schedule_waits,0.0,0.0,0.0,416
replanner/generate_plan,20.567,76.631,6.626,416
replanner/calc_imaging_time,0.121,0.136,0.08,161
