Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.125
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,-7148.779999999999,3.4207457453925837e-13,8.058771957164657e-13,-9.190648911063718e-16,-2.903009991810044,-6.839062957215686
1,-7148.390583122061,-28.975476770707118,-68.35396083472976,0.07793877063985055,-2.9028522175617755,-6.838690261036059
2,-7147.222373639378,-57.94780399840815,-136.70047173023326,0.15586930509791153,-2.9023789104168825,-6.837572209460369
3,-7145.2754950018125,-86.91383245150156,-205.03208348614007,0.23378336789941886,-2.901590117174199,-6.835708913376038
4,-7142.55015294736,-115.87041352109054,-273.3413483797483,0.31167272498358767,-2.9004859158288068,-6.833100557588337
5,-7139.046635484488,-144.8143995324011,-341.6208209048466,0.38952914441075753,-2.899066415567549,-6.82974740080968
6,-7134.765312867412,-173.74264405596395,-409.8630585101979,0.46734439706930386,-2.8973317567627737,-6.82564977564469
7,-7129.7066375643,-202.65200221884052,-478.06062233804903,0.5451102573827801,-2.8952821109642723,-6.820808088570964
8,-7123.871144218422,-231.5393310158012,-546.2060779623763,0.622818504017046,-2.892917680889423,-6.815222819915558
9,-7117.2594496022175,-260.4014896202498,-614.2919961268129,0.7004609205873468,-2.8902387004115426,-6.808894523827181
10,-7109.872252564319,-289.2353396951413,-682.3109534823319,0.7780292963655278,-2.8872454345464416,-6.801823828244108
11,-7101.710333969486,-318.03774570372093,-750.2555333245916,0.8555154269872488,-2.883938179437159,-6.794011434857775
12,-7092.7745566315025,-346.80557522006035,-818.1183263307996,0.9329111151592661,-2.880317262336919,-6.785458119072074
13,-7083.065865238958,-375.5356992395421,-885.8919312963728,1.0102081713668039,-2.876383041590245,-6.776164729958321
14,-7072.5852862740185,-404.22499248895315,-953.5689558708174,1.0873984145808908,-2.872135906612286,-6.766132190205903
15,-7061.333927924081,-432.87033373655083,-1021.1420172933898,1.164473672965908,-2.867576277866309,-6.755361496068571
16,-7049.31297998639,-461.4686061017734,-1088.603743127968,1.241425784587054,-2.8627046068393707,-6.743853717306399
17,-7036.5237137655695,-490.01669736472684,-1155.9467719974657,1.318246598118018,-2.8575213760161597,-6.731609997123349
18,-7022.96748196407,-518.511500275477,-1223.1637543175673,1.3949279735486493,-2.8520270988509937,-6.71863155210048
19,-7008.645718565588,-546.9499128629396,-1290.247353029727,1.4714617828927499,-2.8462223197379886,-6.70491967212475
20,-6993.559938711365,-575.3288387435005,-1357.1902443334507,1.5478399108958647,-2.8401076139793706,-6.690475720313407
21,-6977.71173856943,-603.64518742938,-1423.985118417889,1.624054255743344,-2.833683587751923,-6.675301132933945
22,-6961.102795196789,-631.8958746365306,-1490.6246801924601,1.7000967297682674,-2.826950878071593,-6.659397419319624
23,-6943.734866394501,-660.0778225923103,-1557.1016500167084,1.7759592601596212,-2.819910152756188,-6.642766161780524
24,-6925.609790555711,-688.1879603426555,-1623.4087644292508,1.8516337896704886,-2.812562110386233,-6.625409015510096
25,-6906.729486506589,-716.2232240589004,-1689.5387768756812,1.9271122773263165,-2.8049074802639127,-6.607327708487237
26,-6887.095953340182,-744.1805573442343,-1755.4844584356008,2.002386699133377,-2.796947022370109,-6.588524041373803
27,-6866.711270243227,-772.0569115395701,-1821.23859854847,2.0774490487871398,-2.78868152731957,-6.5689998874076
28,-6845.577596315828,-799.8492460291687,-1886.7940057384997,2.1522913383809072,-2.7801118163141028,-6.548757192290792
29,-6823.697170384095,-827.554528545576,-1952.143508338276,2.2269055991143905,-2.7712387410938937,-6.527797974073712
30,-6801.072310805707,-855.1697354741968,-2017.279955211275,2.30128388200245,-2.7620631838868537,-6.506124323034046
31,-6777.7054152683395,-882.6918521573232,-2082.1962164731494,2.375418258583868,-2.752586057356029,-6.483738401551382
32,-6753.5989605810655,-910.1178731975955,-2146.885184211733,2.449300821630215,-2.7428083045450533,-6.460642443977072
33,-6728.755502458646,-937.444802760974,-2211.339773205668,2.5229236858547597,-2.732730898821614,-6.436838756499409
34,-6703.177675298753,-964.6696548790733,-2275.5529216417326,2.596278988621437,-2.7223548438189447,-6.4123297170040505
35,-6676.86819195208,-991.789453750922,-2339.5175918307164,2.669358890653867,-2.7116811733753297,-6.387117774929712
36,-6649.829843485403,-1018.8012340441336,-2403.22677092182,2.7421555767444126,-2.7007109514715832,-6.361205451119061
37,-6622.065498937534,-1045.7020411953956,-2466.673471615567,2.8146612564633,-2.689445272166513,-6.334595337664772
38,-6593.578105068176,-1072.488931710398,-2529.850732875148,2.8868681648677113,-2.6778852595303424,-6.30729009775077
39,-6564.370686099723,-1099.1589734629642,-2592.7516206361456,2.958768563210897,-2.6660320675761056,-6.279292465488576
40,-6534.4463434519785,-1125.7092459935534,-2655.3692285145535,3.030354739651298,-2.653886880188962,-6.2506052457487336
41,-6503.8082554697485,-1152.1368408070846,-2717.6966785131804,3.1016190099616856,-2.641450911053424,-6.221231313987303
42,-6472.459677143357,-1178.438861669928,-2779.7271217262687,3.1725537182382055,-2.6287254035785366,-6.191173616067351
43,-6440.403939822132,-1204.6124249062395,-2841.4537390422006,3.243151237609423,-2.6157116308208908,-6.1604351680754625
44,-6407.644450920733,-1230.65465969344,-2902.8697418445026,3.3134039709452936,-2.602410895405581,-6.12901905613318
45,-6374.184693618441,-1256.5627083569366,-2963.9683727108236,3.3833043515660526,-2.58882452944498,-6.09692843620336
46,-6340.02822655134,-1282.3337266640253,-3024.7429061100174,3.4528448439510417,-2.574953894455378,-6.064166533891407
47,-6305.178683497452,-1307.96488411689,-3085.1866490971565,3.5220179444473425,-2.5608003812714855,-6.030736644241372
48,-6269.639773054718,-1333.4533642448941,-3145.292942006576,3.5908161819784072,-2.5463654099586748,-5.996642131526816
49,-6233.415278312015,-1358.7963648957466,-3205.05515914265,3.6592321187523633,-2.53165042972313,-5.961886429036486
50,-6196.509056512987,-1383.9910985259721,-3264.4667094685465,3.727258350970276,-2.5166569188197014,-5.926473038854692
51,-6158.925038712816,-1409.0347924903829,-3323.5210372927454,3.794887509534177,-2.5013863844575566,-5.89040553163637
52,-6120.667229428029,-1433.9246893305105,-3382.211622953129,3.8621122607547775,-2.4858403627036068,-5.853687546376829
53,-6081.73970627908,-1458.6580470622273,-3440.531983498923,3.928925307059041,-2.4700204183836156,-5.816322790176087
54,-6042.146619625931,-1483.2321394622393,-3498.475673370235,3.9953193876974398,-2.453928144981081,-5.7783150379977535
55,-6001.892192196638,-1507.6442563535957,-3556.0362850749752,4.061287279450802,-2.437565164533792,-5.739668132422528
56,-5960.980718708728,-1531.891703890188,-3613.2074498635557,4.126821797336996,-2.4209331275280728,-5.700385983396081
