Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
176,2894,,16.73,-99.653,635.1,-4.86,5.34,nan
176,4033,,17.003,-100.244,633.0,1.77,1.94,nan
177,610,,18.272,-101.892,677.1,19.82,21.88,nan
177,2894,,16.73,-99.653,638.7,-7.39,8.13,nan
177,4033,,17.003,-100.244,635.8,5.26,5.79,nan
180,856,,19.99,-101.073,672.8,18.69,20.63,nan
180,2681,,19.957,-100.973,669.0,17.81,19.65,nan
180,3655,,20.272,-101.09,679.0,20.05,22.14,nan
180,3960,,20.052,-100.667,661.9,16.0,17.64,nan
180,4866,,20.004,-100.229,651.2,12.72,14.01,nan
181,856,,19.99,-101.073,674.2,18.94,20.91,nan
181,2681,,19.957,-100.973,670.4,18.07,19.94,nan
181,3655,,20.272,-101.09,677.3,19.62,21.67,nan
181,3960,,20.052,-100.667,660.9,15.66,17.27,nan
181,4866,,20.004,-100.229,649.0,11.8,12.99,nan
184,4161,,21.734,-98.153,636.4,3.98,4.37,nan
185,1921,,22.192,-97.851,636.3,-3.36,3.7,nan
185,2485,,22.615,-98.691,643.6,8.92,9.82,nan
185,2601,,22.211,-98.04,635.9,2.88,3.16,nan
185,2902,,22.396,-98.125,637.5,4.73,5.21,nan
185,3042,,22.365,-98.027,637.1,4.42,4.86,nan
185,4161,,21.734,-98.153,635.5,-2.07,2.28,nan
185,4396,,22.234,-97.908,636.3,-3.44,3.79,nan
186,1921,,22.192,-97.851,636.3,-2.96,3.25,nan
186,2485,,22.615,-98.691,642.3,8.01,8.82,nan
186,2601,,22.211,-98.04,636.6,3.37,3.71,nan
186,2902,,22.396,-98.125,636.2,2.87,3.15,nan
186,3042,,22.365,-98.027,635.9,2.18,2.4,nan
186,4396,,22.234,-97.908,636.1,-2.63,2.89,nan
187,1322,,23.959,-98.666,654.8,13.21,14.55,nan
188,1322,,23.959,-98.666,652.8,12.4,13.66,nan
189,4332,,24.922,-97.789,646.6,9.75,10.73,nan
190,4332,,24.922,-97.789,644.8,8.7,9.57,nan
191,4967,,26.016,-97.274,646.7,9.46,10.42,nan
192,4967,,26.016,-97.274,645.2,8.5,9.36,nan
195,2837,,28.048,-97.869,684.5,20.09,22.2,nan
198,3868,,30.315,-96.524,677.8,18.38,20.3,nan
198,4509,,29.921,-95.133,646.8,8.16,8.98,nan
199,743,,29.754,-93.895,642.8,-5.03,5.54,nan
199,3855,,30.36,-95.565,653.7,11.19,12.34,nan
199,3868,,30.315,-96.524,676.3,17.93,19.8,nan
199,4509,,29.921,-95.133,643.9,6.0,6.6,nan
200,691,,29.837,-93.349,648.1,-8.41,9.26,nan
200,743,,29.754,-93.895,644.0,-5.73,6.3,nan
200,788,,29.738,-92.387,669.0,-15.98,17.64,nan
200,813,,30.633,-95.016,647.1,7.85,8.65,nan
200,926,,29.865,-92.843,656.6,-12.13,13.37,nan
200,2697,,30.802,-95.156,650.6,9.68,10.67,nan
200,2847,,30.032,-93.364,646.5,-7.5,8.26,nan
200,3855,,30.36,-95.565,655.2,11.61,12.79,nan
200,4094,,29.924,-93.405,646.7,-7.59,8.36,nan
201,277,,31.175,-93.567,643.1,-4.61,5.07,nan
201,453,,31.065,-94.106,641.8,2.94,3.24,nan
201,788,,29.738,-92.387,671.1,-16.43,18.13,nan
201,926,,29.865,-92.843,659.4,-12.96,14.29,nan
201,2697,,30.802,-95.156,652.8,10.48,11.55,nan
201,2847,,30.032,-93.364,649.8,-9.06,9.97,nan
201,3724,,31.328,-96.33,687.5,20.18,22.31,nan
202,277,,31.175,-93.567,641.7,-1.99,2.19,nan
202,453,,31.065,-94.106,644.0,5.05,5.56,nan
202,3596,,32.148,-95.473,673.1,16.84,18.6,nan
203,1824,,32.811,-95.532,685.3,19.53,21.59,nan
203,2376,,32.752,-94.506,659.3,12.62,13.91,nan
203,2666,,31.481,-92.116,655.0,-11.03,12.16,nan
203,2786,,32.707,-93.916,650.8,9.15,10.08,nan
203,4321,,33.073,-95.003,676.0,17.44,19.26,nan
204,2002,,33.306,-94.162,658.8,12.31,13.58,nan
