Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
52,367,,-28.1,-88.6,762.5,4.05,4.54,81.67
129,146,,-64.7,-46.9,724.3,-8.77,9.76,86.38
166,151,,-63.7,5.1,711.3,14.17,15.74,nan
172,153,,-63.5,13.8,683.0,1.0,1.11,nan
212,256,,-46.5,43.9,656.8,2.66,2.93,nan
216,269,,-44.4,45.7,654.7,3.08,3.4,nan
407,825,,58.2,107.8,677.2,-6.08,6.73,nan
456,878,,67.1,171.7,729.6,12.92,14.39,nan
678,265,,-45.2,-102.6,746.0,3.79,4.23,83.6
692,222,,-52.4,-96.3,736.1,-2.05,2.29,84.14
712,164,,-61.1,-81.9,725.4,-5.28,5.88,85.69
722,149,,-64.4,-71.3,718.3,-5.45,6.06,86.7
729,139,,-65.9,-62.1,710.9,-3.32,3.69,87.68
875,470,,-8.2,39.6,629.9,-0.6,0.66,nan
1339,139,,-65.9,-62.1,707.3,9.4,10.44,nan
1349,136,,-66.7,-46.4,699.6,-9.37,10.39,90.0
1578,794,,51.7,47.5,668.6,-7.0,7.73,nan
1614,868,,65.2,80.2,688.9,-2.11,2.33,nan
1619,883,,67.9,85.9,718.7,14.83,16.48,nan
1706,718,,38.6,166.4,765.4,-10.48,11.73,81.33
1740,634,,21.1,176.9,765.6,-2.21,2.47,80.08
1944,150,,-64.4,-70.4,697.7,9.25,10.25,nan
2099,594,,13.7,-3.0,633.2,4.15,4.56,nan
2275,779,,50.1,130.4,761.1,-13.56,15.17,83.02
2292,733,,42.3,139.3,754.3,-7.3,8.16,82.14
2293,732,,42.2,140.6,748.1,-0.71,0.8,82.83
2309,697,,34.3,146.8,760.4,5.81,6.5,82.3
2322,655,,26.6,148.6,770.7,-8.42,9.44,79.73
2440,309,,-37.3,174.8,759.8,-7.23,8.09,80.51
2474,218,,-53.2,-167.9,739.4,6.98,7.78,85.08
2539,138,,-66.4,-90.0,714.4,-15.37,17.07,89.85
2592,274,,-43.2,-50.1,678.3,-15.5,17.13,nan
2667,513,,-1.0,-31.9,636.6,-8.43,9.26,nan
2962,533,,1.6,135.0,772.4,3.68,4.12,79.25
2992,444,,-15.0,140.3,767.8,-1.22,1.37,78.94
3070,206,,-54.7,168.6,733.3,4.13,4.61,84.92
3124,131,,-67.9,-126.5,716.4,-14.28,15.86,89.05
3373,838,,60.2,-18.3,690.8,11.94,13.23,nan
3387,862,,64.1,-2.3,684.5,1.05,1.16,nan
3655,230,,-52.1,137.0,745.5,-8.52,9.51,82.56
3663,211,,-53.9,145.4,760.0,14.99,16.76,86.09
3685,156,,-63.1,163.2,716.9,3.29,3.66,87.15
3799,348,,-31.3,-94.1,645.6,-6.73,7.41,nan
3931,737,,42.7,-62.2,652.5,-2.02,2.23,nan
4101,656,,26.7,74.4,763.2,-3.56,3.98,79.69
4183,432,,-17.0,93.4,797.3,15.1,16.97,80.65
4220,304,,-38.3,99.6,773.5,-12.7,14.23,79.38
4257,201,,-55.6,119.0,730.3,0.41,0.46,84.35
4268,173,,-59.5,128.6,727.6,6.34,7.06,86.28
4511,708,,36.7,-93.8,671.2,15.16,16.74,nan
4524,741,,43.5,-88.7,666.4,11.27,12.44,nan
4856,182,,-57.9,99.0,727.1,2.99,3.33,85.24
4881,137,,-66.7,124.9,715.8,-8.04,8.93,87.01
4908,140,,-65.6,164.9,688.0,-1.31,1.46,nan
5424,253,,-46.9,58.0,743.0,-2.6,2.91,81.82
5518,172,,-59.8,158.6,679.9,6.36,7.03,nan
5529,203,,-55.6,168.0,668.9,3.23,3.57,nan
5539,238,,-50.7,173.7,669.2,8.42,9.29,nan
5570,313,,-35.5,-171.5,646.8,-5.01,5.51,nan
5662,612,,17.0,-152.1,642.6,9.58,10.54,nan
5717,759,,46.2,-133.5,659.8,-5.51,6.07,nan
5787,877,,67.1,-61.4,708.9,5.16,5.73,nan
5905,589,,12.8,4.3,784.2,-10.82,12.14,76.83
6220,495,,-3.4,177.0,630.6,-3.63,3.99,nan
6406,845,,60.8,-54.0,748.7,13.74,15.33,87.74
6586,322,,-34.3,0.2,757.4,4.41,4.93,80.19
6635,181,,-58.0,24.1,726.3,2.28,2.54,84.86
6791,443,,-15.4,146.4,638.7,7.98,8.78,nan
6923,818,,55.9,-172.0,670.3,-2.71,3.0,nan
7023,776,,49.1,-64.6,741.3,2.22,2.48,83.42
7259,132,,-67.7,34.2,712.9,-9.09,10.11,87.55
7487,727,,41.4,148.4,663.7,-10.47,11.55,nan
7569,876,,66.7,-131.4,712.4,5.82,6.47,89.72
7703,540,,2.9,-65.2,771.8,3.06,3.43,77.29
8016,552,,6.8,104.7,633.6,6.04,6.64,nan
8141,878,,67.1,171.7,699.8,7.73,8.58,nan
8299,532,,1.5,-89.1,778.2,7.54,8.46,77.56
8536,325,,-34.2,62.9,647.7,6.45,7.1,nan
