lat [deg],lon [deg]
-85.86766392313389,100.49441873150951
-87.28650523986866,101.99406644801013
-84.92329451000157,101.94364841374443
-88.5094687623619,101.67135287708989
-86.3107532818676,101.19664713262367
-85.87525499054178,103.7873086446173
-83.3231221192857,101.3030548541
-85.77180390805911,103.00128016686945
-86.75564738527007,100.5060863093013
-85.01261684728388,101.69670831542871
-87.02148172920874,171.38369065278323
-87.64100472301939,169.85726514034647
-86.54418273355604,167.76864143514575
-84.52480912805126,170.20477778433212
-86.89588397886973,171.47518570431586
-85.93785427397408,169.22395588678336
-85.41931915596467,169.77154409174332
-84.19845479434512,171.9077017515581
-86.5793890228584,167.39138190610493
-87.21741694432602,171.1069102281543
-84.08096283398604,-16.780798432618905
-85.78709602886882,-16.95524504746386
-84.68295455896283,-15.615263549503887
-86.10398991167173,-16.5140472679628
-85.52617366441108,-12.738450713526595
-84.36395978104076,-13.485370696730115
-85.49249800855235,-16.104801724106057
-83.82495422514154,-17.19728462572443
-85.18159788524855,-15.49943168344722
-86.01084129506872,-17.208082383137178
-85.73655378878408,-20.830134067978975
-83.75441998290403,-19.3482542551737
-83.47342127927314,-20.21725278485748
-85.62320186824968,-21.230229839603656
-83.22851720317966,-22.590079924321724
-84.4228319527946,-19.531236183742074
-84.77036938646934,-21.069866236989505
-83.48411329700188,-21.715956114103854
-83.27552727384561,-19.543880397603417
-83.32130154021101,-21.859677264190037
-83.1513377740627,-34.36499554669862
-85.99563931799172,-35.640856749051466
-82.39389583212679,-34.581457244634706
-83.84162210373968,-35.42366472435619
-85.00217710980453,-35.809860175053586
-83.21769371346687,-33.4935372482051
-84.87852802043398,-37.07683966743088
-83.05753434862062,-35.180213266904104
-84.17669320313303,-36.299064108599424
-83.07543686557496,-35.199165359243686
-83.6546045772494,-123.25027524610148
-84.06481211150411,-125.02621785605255
-82.04997553797295,-125.65762170942719
-83.75967241232871,-123.23186834118107
-84.74705005504873,-123.51401274034038
-82.16333395495141,-125.4204193074316
-82.81441092496945,-123.65547431402668
-82.62534715274133,-125.25759493498109
-83.60726045110196,-123.4219067512251
-84.26898892757579,-124.1989862129734
-74.46871691990579,129.37711850556
-72.69932903101565,130.01727491188018
-75.12554731344954,126.45498409233805
-71.72439376195749,128.44847439357238
-72.87903259862023,129.69178379820409
-75.03510347562727,129.45182707593978
-73.60068782342003,127.6106237443663
-74.66875282531967,127.6830473028527
-74.15715831273678,129.6108155736917
-71.78370704383569,130.1594951442331
-68.02242041253484,-104.26367049738853
-69.69414494671153,-105.25046858494572
-69.97665067562549,-105.30616914485921
-69.18250864093719,-106.92872641370501
-70.78906627001095,-105.38660554005688
-68.73787106015328,-105.347431804928
-68.93005061402224,-103.88224909894639
-69.48556036121636,-105.93297384643823
-65.22652132465186,-105.49784777744391
-67.45078687752923,-105.17476109701113
-63.960560183917835,-65.3651477688011
-63.335844247287355,-65.2666335069332
-63.39930473685477,-66.60976852077815
-63.55634090143406,-65.6956915030484
-63.275159151763816,-66.3441252044572
-62.307657565927954,-66.22090983662403
-65.21937385174913,-65.38779632977825
-63.77230009144802,-66.2145512293535
-64.20901975160182,-66.48195315231962
-61.49897283470297,-66.90283230612286
-60.71606815396786,120.05172416230444
-63.441335694182435,118.6903969681754
-61.676958605459575,121.84335086409907
-63.296863449247944,117.85998079802239
-61.662585912043106,119.64394940606923
-62.170693452959,119.789569368572
-62.198052263166716,119.7018782145458
-63.248626481752716,119.5510239954109
-62.50795699788131,119.84563212365309
-63.78438214318459,119.44424139013046
-56.406697761954455,5.399871599185543
-58.091074084208124,6.929318345290737
-57.50893887008511,3.8749052260033077
-58.649558018014474,5.5179988915671325
-57.8059387308101,6.31718152707669
-58.852247745994546,6.893497831229899
-58.714651245148936,6.958635916880988
-57.93869364889009,5.8469856517147045
-57.24312629857411,5.813507025742877
-57.566208834426945,6.680606099851945
-53.647791762863285,-90.64095742530714
-56.697972821799034,-88.99912261884742
-54.86638984420487,-89.20440255694514
-55.36754580035476,-88.45222630287782
-55.3762320441784,-89.18093347905695
-53.60840052472058,-88.6276650947681
-55.42721765792646,-87.68020205696983
-56.38242599687436,-89.88251349789499
-55.12151263999103,-89.48367762262937
-55.83425690449748,-90.98513443089823
-51.684464660726086,-116.47014263849535
-54.1778035079359,-116.45555500702193
-53.405943973879644,-115.80236909309221
-54.29337238249825,-117.60762521609497
-52.98240961342819,-116.67875898528067
-53.52810851354163,-117.16944944333159
-55.02346437619066,-117.76123378406334
-54.188904869758545,-117.4360839383305
-54.04557158295681,-116.67142593661524
-52.39147208016121,-116.76811680574778
-54.15347233039889,51.52738204751357
-52.88348257419157,49.67077715647397
-52.925923602623556,51.15061793627443
-52.61750372724958,49.65081100360625
-53.32267026312581,49.46479907840388
-51.29719396845492,49.54699861458152
-51.73803992141766,51.13190464223751
-52.77236358213616,50.334912886905244
-51.38778054592317,50.76328374248841
-53.097098414916765,50.089835342082566
-52.5741400746843,101.44755210903011
-52.09922401239504,99.51245180366271
-51.34276059653721,100.14680684973725
-52.754600538911966,99.3416973412475
-51.935902680826466,100.45874373211232
-52.37122008311018,99.89071715745492
-53.36438063345858,100.48076091221422
-52.569097017222575,101.4735153077652
-51.56969448699339,99.96011631478453
-51.093481428206935,101.37884808090672
-51.51935672235745,-1.8250174691698353
-50.70636231248718,-1.0389621082255172
-51.39304875952715,-0.6482708778312496
-50.56669166683371,0.07725025820636389
-49.885010497992795,-2.138098281836683
-51.21697171925401,-1.4953678040895908
-52.636101510791455,-0.4256920114769951
-51.95300915334173,-2.5077626005202087
-52.34782785250753,-2.8210450690372295
-49.69105066067484,-1.6243090648716034
-50.97761535692562,-168.00543377559853
-51.21401751509084,-170.89767871478895
-51.1134737512478,-168.536002254342
-50.90731286309585,-169.1037727702382
-48.15954157202987,-171.90758796614364
-51.68977682411593,-169.8246904779459
-50.28111803194001,-171.20301254589882
-49.95529887516659,-170.5668328954362
-50.31389720517397,-169.00863191275408
-51.314074195256,-169.8817386517371
-50.399305807151265,35.687895094607086
-51.756785947785446,36.32968306787742
-49.60203374240243,35.2546004506297
-50.511299921015166,34.458076708780446
-51.15435239025114,36.8951575022336
-51.492823503484665,34.45729237929969
-50.57618999803487,36.16023005775014
-50.22717733774387,34.64831090767786
-50.914920558195625,36.722953953217214
-52.25529166601128,35.522177500522204
-50.22726969166735,22.717692664735715
-48.514835145917786,23.312095046500566
-48.932754241061275,24.855871778192814
-49.55407738503325,23.77076409596139
-48.62276751141617,23.035808854119065
-48.77115311130329,23.609893246244255
-49.542027859072576,22.41716748877105
-48.34176017608876,22.961411375251995
-47.950530624696476,23.215404239378323
-47.531215831583204,22.94445094257961
-48.859506829900155,-117.47424734293091
-46.502089493504236,-117.65613746109463
-47.86381105626138,-120.07945703536048
-48.474149369519246,-115.88069443450256
-47.90169192450384,-117.753300032866
-48.75889695883973,-117.52622528656345
-47.90635191796221,-117.40700614986557
-47.756925289990974,-118.60087152214876
-49.42547080888934,-118.62889514507309
-48.70215537180981,-116.5136418058206
-41.919967674512975,66.53185536428457
-44.54104334165614,68.7717635644011
-43.136381069035664,68.15065253758742
-41.24241599360822,66.0711814688223
