routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00138,0.00579,2e-05,1170,1.6145999999999998
__check_action_completion,7e-05,3e-05,6e-05,1170,0.08189999999999999
update_action_completion,0.0001,0.00155,4e-05,1170,0.117
get_plan_out,0.00016,0.00056,8e-05,1170,0.1872
preplanner/update_percepts,0.00021,0.0005,0.00017,1170,0.2457
preplanner/needs_planning,0.0,0.0,0.0,1170,0.0
preplanner/calculate_access_opportunities,0.02757,0.0,0.02757,1,0.02757
preplanner/_schedule_observations,0.13959,0.0,0.13959,1,0.13959
preplanner/is_observation_path_valid,0.0002,0.0,0.0002,1,0.0002
preplanner/_create_broadcast_path,0.01746,0.0,0.01746,1,0.01746
preplanner/_schedule_broadcasts,0.05493,0.0,0.05493,1,0.05493
preplanner/_schedule_maneuvers,0.05433,0.0,0.05433,1,0.05433
preplanner/__schedule_periodic_replan,0.00139,0.0,0.00139,1,0.00139
preplanner/generate_plan,0.2551,0.0,0.2551,1,0.2551
replanner/compile_new_measurement_request_bids,1e-05,1e-05,1e-05,1170,0.0117
replanner/update_percepts,0.00037,0.00074,0.00023,1170,0.4329
replanner/check_request_completion,0.0131,0.01733,0.00769,1170,15.327
replanner/check_request_end_time,0.0,0.0,0.0,1170,0.0
replanner/compare_bids,0.00833,0.0126,0.0041,1170,9.7461
replanner/consensus_phase,0.02145,0.02561,0.01535,1170,25.0965
replanner/needs_planning,0.02168,0.0255,0.01559,1170,25.3656
replanner/_get_available_requests,0.0039,0.00617,0.00231,142,0.5538
replanner/_generate_bids_from_request,1e-05,1e-05,1e-05,112,0.0011200000000000001
replanner/_get_matching_request,1e-05,1e-05,1e-05,3622,0.03622
replanner/_can_bid,0.0,0.0,0.0,3119,0.0
replanner/planning_phase,0.00511,0.00792,0.00339,61,0.31171
replanner/is_observation_path_valid,5e-05,5e-05,4e-05,2112,0.1056
replanner/merge_plans,0.00252,0.00183,0.00191,61,0.15372
replanner/_schedule_observations,0.00253,0.00183,0.00191,61,0.15433
replanner/_schedule_maneuvers,0.04328,0.0399,0.0323,61,2.6400799999999998
replanner/_create_broadcast_path,0.01923,0.01076,0.01656,74,1.42302
replanner/_schedule_broadcasts,0.02371,0.01349,0.01784,61,1.44631
replanner/_schedule_waits,0.0,0.0,0.0,61,0.0
replanner/generate_plan,0.07542,0.03847,0.06789,61,4.60062
replanner/_can_access,0.00053,0.00194,0.00035,922,0.48866
reward_grid/update,2e-05,4e-05,0.0,1171,0.023420000000000003
reward_grid/__get_target_indeces,1e-05,0.0,1e-05,186,0.00186
reward_grid/propagate_reward,3e-05,2e-05,3e-05,372,0.01116
reward_grid/update_observation,9e-05,2e-05,9e-05,130,0.0117
reward_grid/update_event,0.00011,5e-05,0.0001,56,0.0061600000000000005
reward_grid/get_history,0.00205,0.0,0.00205,1,0.00205
