routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.003,0.0,424,0.1744343880118322
update_state,0.0,0.001,0.0,424,0.08749494200674235
sense_environment,0.064,0.054,0.046,423,27.239027017010816
update_state_environment,0.001,0.004,0.0,423,0.2530289759997686
get_environment_broadcasts,0.0,0.002,0.0,423,0.08635650198357325
get_agent_broadcasts,0.011,0.023,0.0,423,4.5593036310010575
sense,0.077,0.058,0.058,423,32.46336050500122
think,0.079,0.094,0.044,423,33.3938476320036
perform_broadcast,0.006,0.009,0.002,4,0.024357696997867606
do,0.058,0.056,0.039,423,24.72563016800541
perform_wait_for_messages,0.058,0.056,0.039,419,24.489144088996
perform_state_change,0.063,0.017,0.071,3,0.1886387550002837
perform_observation,0.04,0.023,0.052,3,0.11881066699970688
