routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,425
update_state,0.0,0.0,0.0,425
sense_environment,0.196,0.105,0.176,424
update_state_environment,0.0,0.0,0.0,424
get_environment_broadcasts,0.003,0.011,0.0,424
get_agent_broadcasts,0.01,0.022,0.0,424
sense,0.21,0.106,0.189,424
think,0.082,0.046,0.086,424
perform_broadcast,0.003,0.006,0.001,42
do,0.127,0.086,0.124,424
perform_wait_for_messages,0.128,0.087,0.124,382
perform_state_change,0.138,0.09,0.168,49
perform_observation,0.113,0.079,0.115,41
