t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
120.0,0,2607,7.2103100000000495,81.53452500000003,visual,1.0,1,0
120.0,0,2607,7.2103100000000495,81.53452500000003,visual,1.0666666666666667,0,0
170.0,0,2942,63.313,12.599,thermal,1.0,1,0
170.0,0,2942,63.313,12.599,thermal,1.0944444444444446,0,0
180.0,0,3692,63.548,14.284,thermal,1.0,1,0
180.0,0,3692,63.548,14.284,thermal,1.1,0,0
250.0,0,2604,63.546,24.851,thermal,1.0,1,0
250.0,0,2604,63.546,24.851,thermal,1.1388888888888888,0,0
260.0,0,4121,63.043,25.524,thermal,1.0,1,0
260.0,0,4121,63.043,25.524,thermal,1.1444444444444444,0,0
270.0,0,4089,62.319,26.115,thermal,1.0,1,0
270.0,0,4089,62.319,26.115,thermal,1.15,0,0
280.0,0,2716,62.449,27.64,thermal,1.0,1,0
280.0,0,2716,62.449,27.64,thermal,1.1555555555555554,0,0
290.0,0,2113,61.28,27.656,thermal,1.0,1,0
290.0,0,2113,61.28,27.656,thermal,1.1611111111111112,0,0
300.0,0,1905,61.576,29.655,thermal,1.0,1,0
300.0,0,1905,61.576,29.655,thermal,1.1666666666666667,0,0
310.0,0,596,60.233,-151.159,thermal,1.0,1,0
310.0,0,596,60.233,-151.159,thermal,1.1722222222222223,0,0
320.0,0,3153,61.573,32.628,thermal,1.0,1,0
320.0,0,3153,61.573,32.628,thermal,1.1777777777777778,0,0
