routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00023,0.00092,2e-05,387
__check_action_completion,6e-05,1e-05,6e-05,387
preplanner/update_percepts,2e-05,0.0,2e-05,387
preplanner/needs_planning,0.0,0.0,0.0,387
preplanner/calculate_access_opportunities,0.00048,0.00077,0.00036,173
preplanner/is_observation_path_valid,1e-05,1e-05,1e-05,470
preplanner/_schedule_maneuvers,0.00262,0.00289,0.00191,173
preplanner/__schedule_periodic_replan,7e-05,0.00011,5e-05,173
preplanner/generate_plan,0.02082,0.01463,0.01517,173
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,387
replanner/update_percepts,6e-05,2e-05,6e-05,387
replanner/check_request_completion,0.00411,0.0052,0.00217,387
replanner/check_request_end_time,0.0,0.0,0.0,387
replanner/compare_bids,0.00266,0.00469,0.0012,387
replanner/consensus_phase,0.0068,0.00786,0.00406,387
replanner/needs_planning,0.00681,0.00786,0.00407,387
replanner/_get_available_requests,1e-05,0.0,1e-05,21
