routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,1032
update_state,0.0,0.0,0.0,1032
sense_environment,0.044,0.019,0.042,1031
update_state_environment,0.0,0.001,0.0,1031
get_environment_broadcasts,0.001,0.003,0.0,1031
get_agent_broadcasts,0.001,0.004,0.0,1031
sense,0.046,0.019,0.048,1031
think,0.026,0.015,0.025,1031
perform_broadcast,0.001,0.001,0.001,14
do,0.02,0.018,0.013,1031
perform_wait_for_messages,0.021,0.019,0.013,956
perform_state_change,0.017,0.013,0.01,83
perform_observation,0.01,0.008,0.006,71
