routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00019,0.00071,1e-05,2646
__check_action_completion,5e-05,1e-05,5e-05,2646
preplanner/update_percepts,6e-05,1e-05,6e-05,2646
preplanner/needs_planning,0.0,0.0,0.0,2646
preplanner/calculate_access_opportunities,0.00106,0.00175,0.00069,864
preplanner/is_observation_path_valid,1e-05,0.0,1e-05,5489
preplanner/_schedule_observations,0.01641,0.01683,0.01074,864
preplanner/_schedule_broadcasts,1e-05,0.0,1e-05,864
preplanner/_schedule_maneuvers,0.00302,0.00459,0.00144,864
preplanner/__schedule_periodic_replan,0.00013,0.00065,5e-05,864
preplanner/generate_plan,0.01964,0.01796,0.01363,864
preplanner/populate_adjacency_matrix,0.00065,0.00089,0.00033,509
replanner/needs_planning,0.0,0.0,0.0,2646
replanner/_create_broadcast_path,0.00642,0.00049,0.00642,2
