t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,LISTENING
500.0,6018.785,1408.171,3321.316,-3.858,2.545,5.994,0.0,SENSING
500.0,6018.785,1408.171,3321.316,-3.858,2.545,5.994,0.0,LISTENING
629.196,5464.542,1721.905,4060.978,-4.714,2.312,5.444,0.0,SENSING
629.196,5464.542,1721.905,4060.978,-4.714,2.312,5.444,0.0,MANEUVERING
629.196,5464.542,1721.905,4060.978,-4.714,2.312,5.444,0.0,LISTENING
630.0,5460.752,1723.76,4065.352,-4.719,2.311,5.44,-0.804,MANEUVERING
630.0,5460.752,1723.76,4065.352,-4.719,2.311,5.44,-0.804,SENSING
630.0,5460.752,1723.76,4065.352,-4.719,2.311,5.44,-0.804,MEASURING
630.0,5460.752,1723.76,4065.352,-4.719,2.311,5.44,-0.804,SENSING
630.0,5460.752,1723.76,4065.352,-4.719,2.311,5.44,-0.804,LISTENING
639.767,5414.398,1746.194,4118.235,-4.78,2.291,5.394,-0.804,SENSING
639.767,5414.398,1746.194,4118.235,-4.78,2.291,5.394,-0.804,MANEUVERING
639.767,5414.398,1746.194,4118.235,-4.78,2.291,5.394,-0.804,LISTENING
640.0,5413.285,1746.727,4119.491,-4.781,2.291,5.393,-1.037,MANEUVERING
640.0,5413.285,1746.727,4119.491,-4.781,2.291,5.393,-1.037,SENSING
640.0,5413.285,1746.727,4119.491,-4.781,2.291,5.393,-1.037,MEASURING
640.0,5413.285,1746.727,4119.491,-4.781,2.291,5.393,-1.037,SENSING
640.0,5413.285,1746.727,4119.491,-4.781,2.291,5.393,-1.037,LISTENING
649.531,5367.465,1768.431,4170.651,-4.84,2.272,5.348,-1.037,SENSING
649.531,5367.465,1768.431,4170.651,-4.84,2.272,5.348,-1.037,MANEUVERING
649.531,5367.465,1768.431,4170.651,-4.84,2.272,5.348,-1.037,LISTENING
649.548,5367.383,1768.47,4170.741,-4.84,2.272,5.348,-1.02,MANEUVERING
649.548,5367.383,1768.47,4170.741,-4.84,2.272,5.348,-1.02,SENSING
649.548,5367.383,1768.47,4170.741,-4.84,2.272,5.348,-1.02,LISTENING
650.0,5365.196,1769.495,4173.157,-4.843,2.271,5.345,-1.02,SENSING
650.0,5365.196,1769.495,4173.157,-4.843,2.271,5.345,-1.02,MEASURING
650.0,5365.196,1769.495,4173.157,-4.843,2.271,5.345,-1.02,SENSING
650.0,5365.196,1769.495,4173.157,-4.843,2.271,5.345,-1.02,LISTENING
659.045,5321.169,1789.913,4221.284,-4.899,2.252,5.302,-1.02,SENSING
659.045,5321.169,1789.913,4221.284,-4.899,2.252,5.302,-1.02,MANEUVERING
659.045,5321.169,1789.913,4221.284,-4.899,2.252,5.302,-1.02,LISTENING
660.0,5316.491,1792.059,4226.343,-4.905,2.25,5.297,-0.065,MANEUVERING
660.0,5316.491,1792.059,4226.343,-4.905,2.25,5.297,-0.065,SENSING
660.0,5316.491,1792.059,4226.343,-4.905,2.25,5.297,-0.065,MEASURING
660.0,5316.491,1792.059,4226.343,-4.905,2.25,5.297,-0.065,SENSING
660.0,5316.491,1792.059,4226.343,-4.905,2.25,5.297,-0.065,LISTENING
678.694,5223.808,1833.688,4324.462,-5.018,2.211,5.205,-0.065,SENSING
678.694,5223.808,1833.688,4324.462,-5.018,2.211,5.205,-0.065,MANEUVERING
678.694,5223.808,1833.688,4324.462,-5.018,2.211,5.205,-0.065,LISTENING
680.0,5217.254,1836.569,4331.253,-5.026,2.209,5.199,-1.371,MANEUVERING
680.0,5217.254,1836.569,4331.253,-5.026,2.209,5.199,-1.371,SENSING
680.0,5217.254,1836.569,4331.253,-5.026,2.209,5.199,-1.371,MEASURING
680.0,5217.254,1836.569,4331.253,-5.026,2.209,5.199,-1.371,SENSING
680.0,5217.254,1836.569,4331.253,-5.026,2.209,5.199,-1.371,LISTENING
1000.0,3338.432,2421.991,5710.149,-6.608,1.422,3.342,-1.371,SENSING
1000.0,3338.432,2421.991,5710.149,-6.608,1.422,3.342,-1.371,LISTENING
1019.234,3210.724,2448.784,5773.186,-6.68,1.369,3.216,-1.371,SENSING
1019.234,3210.724,2448.784,5773.186,-6.68,1.369,3.216,-1.371,LISTENING
1020.0,3205.61,2449.83,5775.646,-6.683,1.367,3.211,-1.371,SENSING
1020.0,3205.61,2449.83,5775.646,-6.683,1.367,3.211,-1.371,LISTENING
1029.658,3140.944,2462.876,5806.335,-6.718,1.34,3.147,-1.371,SENSING
1029.658,3140.944,2462.876,5806.335,-6.718,1.34,3.147,-1.371,LISTENING
1030.0,3138.648,2463.333,5807.41,-6.719,1.339,3.145,-1.371,SENSING
1030.0,3138.648,2463.333,5807.41,-6.719,1.339,3.145,-1.371,LISTENING
1089.503,2733.084,2537.851,5982.633,-6.918,1.17,2.746,-1.371,SENSING
1089.503,2733.084,2537.851,5982.633,-6.918,1.17,2.746,-1.371,LISTENING
1090.0,2729.648,2538.43,5983.996,-6.919,1.168,2.742,-1.371,SENSING
1090.0,2729.648,2538.43,5983.996,-6.919,1.168,2.742,-1.371,LISTENING
1169.452,2171.166,2621.899,6180.074,-7.141,0.936,2.193,-1.371,SENSING
1169.452,2171.166,2621.899,6180.074,-7.141,0.936,2.193,-1.371,LISTENING
1170.0,2167.255,2622.41,6181.275,-7.142,0.934,2.189,-1.371,SENSING
1170.0,2167.255,2622.41,6181.275,-7.142,0.934,2.189,-1.371,LISTENING
1179.702,2097.9,2631.315,6202.175,-7.165,0.905,2.121,-1.371,SENSING
1179.702,2097.9,2631.315,6202.175,-7.165,0.905,2.121,-1.371,LISTENING
1180.0,2095.766,2631.585,6202.807,-7.166,0.904,2.119,-1.371,SENSING
1180.0,2095.766,2631.585,6202.807,-7.166,0.904,2.119,-1.371,LISTENING
1189.928,2024.556,2640.398,6223.488,-7.189,0.875,2.049,-1.371,SENSING
1189.928,2024.556,2640.398,6223.488,-7.189,0.875,2.049,-1.371,LISTENING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,SENSING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,LISTENING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,SENSING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,MESSAGING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,SENSING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,LISTENING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,SENSING
1190.0,2024.039,2640.461,6223.636,-7.189,0.874,2.049,-1.371,LISTENING
1198.692,1961.509,2647.934,6241.167,-7.209,0.848,1.987,-1.371,SENSING
1198.692,1961.509,2647.934,6241.167,-7.209,0.848,1.987,-1.371,LISTENING
1200.0,1952.083,2649.039,6243.76,-7.212,0.844,1.978,-1.371,SENSING
1200.0,1952.083,2649.039,6243.76,-7.212,0.844,1.978,-1.371,LISTENING
1209.662,1882.349,2657.043,6262.532,-7.233,0.815,1.91,-1.371,SENSING
1209.662,1882.349,2657.043,6262.532,-7.233,0.815,1.91,-1.371,LISTENING
1210.0,1879.906,2657.318,6263.176,-7.234,0.814,1.907,-1.371,SENSING
1210.0,1879.906,2657.318,6263.176,-7.234,0.814,1.907,-1.371,LISTENING
86400.0,-6503.062,-888.673,-2814.225,3.087,-2.769,-6.174,-1.371,SENSING
