routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,2999
update_state,0.0,0.0,0.0,2999
sense_environment,0.051,0.025,0.048,2998
update_state_environment,0.0,0.001,0.0,2998
get_environment_broadcasts,0.001,0.004,0.0,2998
get_agent_broadcasts,0.004,0.007,0.0,2998
sense,0.056,0.025,0.056,2998
think,0.025,0.015,0.023,2998
perform_broadcast,0.002,0.003,0.001,273
do,0.031,0.024,0.025,2998
perform_wait_for_messages,0.031,0.024,0.026,2725
perform_state_change,0.03,0.024,0.024,277
perform_observation,0.026,0.022,0.017,270
