routine,t_avg,t_std,t_med,n
therm_sat_2_2,0.064,0.021,0.064,16907
sar_sat_0_0,0.065,0.065,0.064,16898
vis_sat_0_1,0.064,0.025,0.064,16933
therm_sat_2_1,0.065,0.071,0.064,16838
therm_sat_1_1,0.065,0.029,0.064,16864
therm_sat_2_0,0.064,0.018,0.064,16899
sar_sat_2_1,0.064,0.033,0.064,16888
therm_sat_0_1,0.065,0.04,0.064,16920
vis_sat_2_1,0.064,0.044,0.064,16904
therm_sat_0_0,0.065,0.081,0.064,16855
sar_sat_0_1,0.065,0.07,0.064,16852
sar_sat_1_1,0.064,0.039,0.064,16902
vis_sat_0_0,0.064,0.025,0.064,16883
sar_sat_2_0,0.064,0.017,0.064,16910
therm_sat_1_0,0.064,0.023,0.064,16874
vis_sat_1_2,0.064,0.014,0.064,16882
vis_sat_2_2,0.064,0.019,0.064,16899
therm_sat_0_2,0.065,0.05,0.064,16873
vis_sat_0_2,0.065,0.041,0.064,16838
vis_sat_1_1,0.064,0.03,0.064,16822
vis_sat_1_0,0.064,0.02,0.064,16884
sar_sat_1_0,0.065,0.045,0.064,16824
therm_sat_1_2,0.064,0.044,0.064,16850
vis_sat_2_0,0.064,0.049,0.064,16856
query_measurement_data,0.004,0.003,0.003,9443
