routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.009,0.0,16483
update_state,0.0,0.0,0.0,16483
sense_environment,0.816,0.469,0.816,16482
update_state_environment,0.003,0.011,0.0,16482
get_environment_broadcasts,0.0,0.004,0.0,16482
get_agent_broadcasts,0.008,0.066,0.0,16482
sense,0.831,0.469,0.823,16482
think,0.44,0.696,0.336,16482
perform_broadcast,0.034,0.037,0.025,160
do,0.486,0.548,0.187,16482
perform_wait_for_messages,0.491,0.55,0.195,15961
perform_state_change,0.475,0.514,0.187,662
perform_observation,0.407,0.483,0.144,401
