t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,SENSING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,MESSAGING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,SENSING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,LISTENING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,SENSING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,LISTENING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,SENSING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,LISTENING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,SENSING
0.0,-2394.836,1382.659,-6514.682,-3.727,-6.514,0.069,0.0,LISTENING
8.246,-2425.455,1328.932,-6513.864,-3.705,-6.527,0.129,0.0,SENSING
8.246,-2425.455,1328.932,-6513.864,-3.705,-6.527,0.129,0.0,MANEUVERING
8.246,-2425.455,1328.932,-6513.864,-3.705,-6.527,0.129,0.0,LISTENING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,MANEUVERING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,SENSING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,MEASURING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,MESSAGING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,SENSING
10.0,-2431.944,1317.49,-6513.625,-3.7,-6.529,0.142,1.754,LISTENING
19.097,-2465.465,1258.077,-6512.029,-3.675,-6.542,0.209,1.754,SENSING
19.097,-2465.465,1258.077,-6512.029,-3.675,-6.542,0.209,1.754,LISTENING
20.0,-2468.78,1252.173,-6511.837,-3.672,-6.544,0.216,1.754,SENSING
20.0,-2468.78,1252.173,-6511.837,-3.672,-6.544,0.216,1.754,LISTENING
20.0,-2468.78,1252.173,-6511.837,-3.672,-6.544,0.216,1.754,SENSING
20.0,-2468.78,1252.173,-6511.837,-3.672,-6.544,0.216,1.754,LISTENING
48.81,-2573.341,1063.236,-6502.593,-3.591,-6.581,0.426,1.754,SENSING
48.81,-2573.341,1063.236,-6502.593,-3.591,-6.581,0.426,1.754,LISTENING
48.989,-2573.983,1062.059,-6502.517,-3.59,-6.581,0.428,1.754,SENSING
48.989,-2573.983,1062.059,-6502.517,-3.59,-6.581,0.428,1.754,LISTENING
50.0,-2577.609,1055.409,-6502.081,-3.587,-6.582,0.435,1.754,SENSING
50.0,-2577.609,1055.409,-6502.081,-3.587,-6.582,0.435,1.754,LISTENING
50.0,-2577.609,1055.409,-6502.081,-3.587,-6.582,0.435,1.754,SENSING
50.0,-2577.609,1055.409,-6502.081,-3.587,-6.582,0.435,1.754,LISTENING
57.993,-2606.17,1002.797,-6498.37,-3.564,-6.592,0.494,1.754,SENSING
57.993,-2606.17,1002.797,-6498.37,-3.564,-6.592,0.494,1.754,LISTENING
59.196,-2610.453,994.872,-6497.771,-3.56,-6.593,0.502,1.754,SENSING
59.196,-2610.453,994.872,-6497.771,-3.56,-6.593,0.502,1.754,LISTENING
60.0,-2613.312,989.575,-6497.365,-3.558,-6.594,0.508,1.754,SENSING
60.0,-2613.312,989.575,-6497.365,-3.558,-6.594,0.508,1.754,LISTENING
60.0,-2613.312,989.575,-6497.365,-3.558,-6.594,0.508,1.754,SENSING
60.0,-2613.312,989.575,-6497.365,-3.558,-6.594,0.508,1.754,LISTENING
78.046,-2676.998,870.495,-6487.005,-3.504,-6.613,0.64,1.754,SENSING
78.046,-2676.998,870.495,-6487.005,-3.504,-6.613,0.64,1.754,LISTENING
78.383,-2678.178,868.268,-6486.789,-3.503,-6.613,0.643,1.754,SENSING
78.383,-2678.178,868.268,-6486.789,-3.503,-6.613,0.643,1.754,LISTENING
79.085,-2680.635,863.629,-6486.337,-3.501,-6.614,0.648,1.754,SENSING
79.085,-2680.635,863.629,-6486.337,-3.501,-6.614,0.648,1.754,MANEUVERING
79.085,-2680.635,863.629,-6486.337,-3.501,-6.614,0.648,1.754,LISTENING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,MANEUVERING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,SENSING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,MEASURING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,MESSAGING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,SENSING
80.0,-2683.835,857.581,-6485.741,-3.499,-6.615,0.655,2.669,LISTENING
108.014,-2780.581,672.063,-6464.548,-3.412,-6.639,0.859,2.669,SENSING
108.014,-2780.581,672.063,-6464.548,-3.412,-6.639,0.859,2.669,LISTENING
109.863,-2786.881,659.796,-6462.948,-3.407,-6.64,0.873,2.669,SENSING
109.863,-2786.881,659.796,-6462.948,-3.407,-6.64,0.873,2.669,LISTENING
110.0,-2787.348,658.887,-6462.828,-3.406,-6.64,0.874,2.669,SENSING
110.0,-2787.348,658.887,-6462.828,-3.406,-6.64,0.874,2.669,LISTENING
110.0,-2787.348,658.887,-6462.828,-3.406,-6.64,0.874,2.669,SENSING
110.0,-2787.348,658.887,-6462.828,-3.406,-6.64,0.874,2.669,LISTENING
119.27,-2818.768,597.346,-6454.422,-3.377,-6.647,0.941,2.669,SENSING
119.27,-2818.768,597.346,-6454.422,-3.377,-6.647,0.941,2.669,LISTENING
120.0,-2821.23,592.498,-6453.733,-3.375,-6.647,0.946,2.669,SENSING
120.0,-2821.23,592.498,-6453.733,-3.375,-6.647,0.946,2.669,LISTENING
120.0,-2821.23,592.498,-6453.733,-3.375,-6.647,0.946,2.669,SENSING
120.0,-2821.23,592.498,-6453.733,-3.375,-6.647,0.946,2.669,LISTENING
128.097,-2848.433,538.694,-6445.835,-3.349,-6.652,1.005,2.669,SENSING
128.097,-2848.433,538.694,-6445.835,-3.349,-6.652,1.005,2.669,LISTENING
128.32,-2849.179,537.211,-6445.611,-3.348,-6.653,1.007,2.669,SENSING
128.32,-2849.179,537.211,-6445.611,-3.348,-6.653,1.007,2.669,LISTENING
128.583,-2850.059,535.463,-6445.346,-3.347,-6.653,1.009,2.669,SENSING
128.583,-2850.059,535.463,-6445.346,-3.347,-6.653,1.009,2.669,LISTENING
129.335,-2852.573,530.463,-6444.586,-3.345,-6.653,1.014,2.669,SENSING
129.335,-2852.573,530.463,-6444.586,-3.345,-6.653,1.014,2.669,LISTENING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,SENSING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,LISTENING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,SENSING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,LISTENING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,SENSING
130.0,-2854.796,526.042,-6443.91,-3.343,-6.654,1.019,2.669,LISTENING
136.998,-2878.094,479.501,-6436.603,-3.32,-6.658,1.07,2.669,SENSING
136.998,-2878.094,479.501,-6436.603,-3.32,-6.658,1.07,2.669,LISTENING
139.039,-2884.859,465.922,-6434.405,-3.313,-6.659,1.085,2.669,SENSING
139.039,-2884.859,465.922,-6434.405,-3.313,-6.659,1.085,2.669,LISTENING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,SENSING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,LISTENING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,SENSING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,LISTENING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,SENSING
140.0,-2888.039,459.528,-6433.36,-3.31,-6.659,1.092,2.669,LISTENING
149.951,-2920.798,393.288,-6422.141,-3.278,-6.664,1.164,2.669,SENSING
149.951,-2920.798,393.288,-6422.141,-3.278,-6.664,1.164,2.669,LISTENING
150.0,-2920.958,392.962,-6422.084,-3.277,-6.664,1.164,2.669,SENSING
150.0,-2920.958,392.962,-6422.084,-3.277,-6.664,1.164,2.669,LISTENING
150.0,-2920.958,392.962,-6422.084,-3.277,-6.664,1.164,2.669,SENSING
150.0,-2920.958,392.962,-6422.084,-3.277,-6.664,1.164,2.669,LISTENING
159.356,-2951.459,330.642,-6410.878,-3.246,-6.668,1.232,2.669,SENSING
159.356,-2951.459,330.642,-6410.878,-3.246,-6.668,1.232,2.669,LISTENING
159.54,-2952.056,329.417,-6410.651,-3.246,-6.668,1.234,2.669,SENSING
