plan_index,t_plan,instrument,t_img
0,0.0,visual,110.0
0,0.0,visual,190.0
1,500.0,visual,560.0
1,500.0,visual,800.0
2,1000.0,visual,1050.0
2,1000.0,visual,1060.0
2,1000.0,visual,1090.0
2,1000.0,visual,1310.0
6,3000.0,visual,3100.0
6,3000.0,visual,3240.0
6,3000.0,visual,3300.0
6,3000.0,visual,3360.0
6,3000.0,visual,3500.0
7,3500.0,visual,3570.0
7,3500.0,visual,3690.0
7,3500.0,visual,3850.0
8,4000.0,visual,4080.0
8,4000.0,visual,4290.0
8,4000.0,visual,4320.0
8,4000.0,visual,4370.0
8,4000.0,visual,4410.0
10,5000.0,visual,5350.0
10,5000.0,visual,5450.0
12,6000.0,visual,6040.0
12,6000.0,visual,6090.0
12,6000.0,visual,6200.0
12,6000.0,visual,6260.0
16,8000.0,visual,8380.0
16,8000.0,visual,8490.0
18,9000.0,visual,9070.0
18,9000.0,visual,9220.0
18,9000.0,visual,9260.0
19,9500.0,visual,9560.0
19,9500.0,visual,9580.0
19,9500.0,visual,9700.0
19,9500.0,visual,9710.0
19,9500.0,visual,9880.0
23,11500.0,visual,11530.0
23,11500.0,visual,11570.0
23,11500.0,visual,11730.0
23,11500.0,visual,11810.0
23,11500.0,visual,11850.0
24,12000.0,visual,12180.0
24,12000.0,visual,12270.0
24,12000.0,visual,12320.0
24,12000.0,visual,12380.0
