routine,t_avg,t_std,t_med,n
sar_sat_3_0,0.065,0.048,0.064,3121
sar_sat_2_0,0.064,0.013,0.064,3125
vis_sat_4_0,0.064,0.032,0.064,3131
therm_sat_2_0,0.064,0.032,0.064,3156
therm_sat_6_0,0.064,0.019,0.064,3146
vis_sat_7_0,0.064,0.016,0.064,3126
therm_sat_0_0,0.064,0.01,0.064,3120
therm_sat_3_0,0.063,0.011,0.064,3150
vis_sat_0_0,0.064,0.036,0.064,3151
sar_sat_1_0,0.064,0.066,0.064,3142
sar_sat_6_0,0.064,0.01,0.064,3124
therm_sat_4_0,0.063,0.011,0.064,3118
sar_sat_7_0,0.064,0.011,0.064,3134
sar_sat_0_0,0.064,0.02,0.064,3136
vis_sat_2_0,0.063,0.011,0.063,3154
sar_sat_4_0,0.064,0.034,0.064,3168
therm_sat_1_0,0.065,0.064,0.064,3131
sar_sat_5_0,0.064,0.017,0.064,3133
therm_sat_7_0,0.064,0.011,0.064,3144
vis_sat_3_0,0.064,0.03,0.064,3158
therm_sat_5_0,0.064,0.022,0.064,3160
vis_sat_5_0,0.064,0.01,0.064,3125
vis_sat_6_0,0.063,0.01,0.063,3159
vis_sat_1_0,0.063,0.013,0.064,3187
query_measurement_data,0.0,0.0,0.0,1404
