routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00014,0.00219,1e-05,3078
__check_action_completion,6e-05,1e-05,6e-05,3078
preplanner/update_percepts,4e-05,2e-05,3e-05,3078
preplanner/needs_planning,0.0,0.0,0.0,3078
preplanner/calculate_access_opportunities,0.00081,0.0,0.00081,1
preplanner/_schedule_observations,1.08545,0.0,1.08545,1
preplanner/is_observation_path_valid,0.00013,0.0,0.00013,1
preplanner/_create_broadcast_path,0.04576,0.0,0.04576,1
preplanner/_schedule_broadcasts,0.29641,0.0,0.29641,1
preplanner/_schedule_maneuvers,0.8651,0.0,0.8651,1
preplanner/__schedule_periodic_replan,0.00079,0.0,0.00079,1
preplanner/generate_plan,2.24952,0.0,2.24952,1
replanner/compile_new_measurement_request_bids,3e-05,2e-05,3e-05,3078
replanner/update_percepts,0.00012,9e-05,0.0001,3078
replanner/check_request_completion,0.22131,0.20927,0.17236,3078
replanner/check_request_end_time,0.0,0.0,0.0,3078
replanner/compare_bids,0.16233,0.21847,0.07279,3078
replanner/consensus_phase,0.38367,0.34437,0.32609,3078
replanner/needs_planning,0.3837,0.34436,0.32611,3078
replanner/_get_available_requests,0.00035,0.00021,0.00032,92
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,78
replanner/_get_matching_request,1e-05,1e-05,1e-05,2732
replanner/_can_bid,0.0,0.0,0.0,1791
replanner/_can_access,0.00025,8e-05,0.00025,23
replanner/_schedule_maneuvers,0.8068,0.50939,0.69399,39
replanner/_create_broadcast_path,0.11062,0.14137,0.05976,40
replanner/_schedule_broadcasts,0.11384,0.14239,0.06899,39
replanner/_schedule_waits,0.0,0.0,0.0,39
replanner/generate_plan,0.92191,0.50807,0.87159,39
