routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00022,0.00281,2e-05,3084
__check_action_completion,6e-05,1e-05,6e-05,3084
preplanner/update_percepts,4e-05,1e-05,4e-05,3084
preplanner/needs_planning,0.0,0.0,0.0,3084
preplanner/calculate_access_opportunities,0.0128,0.0,0.0128,1
preplanner/_schedule_observations,0.46723,0.0,0.46723,1
preplanner/is_observation_path_valid,0.00014,0.0,0.00014,1
preplanner/_create_broadcast_path,0.13089,0.0,0.13089,1
preplanner/_schedule_broadcasts,1.39529,0.0,1.39529,1
preplanner/_schedule_maneuvers,0.29484,0.0,0.29484,1
preplanner/__schedule_periodic_replan,0.00089,0.0,0.00089,1
preplanner/generate_plan,2.16035,0.0,2.16035,1
replanner/compile_new_measurement_request_bids,3e-05,2e-05,3e-05,3084
replanner/update_percepts,0.00012,0.00011,0.00011,3084
replanner/check_request_completion,0.21898,0.20598,0.18192,3084
replanner/check_request_end_time,0.0,0.0,0.0,3084
replanner/compare_bids,0.15823,0.22773,0.06595,3084
replanner/consensus_phase,0.37725,0.34874,0.3218,3084
replanner/needs_planning,0.37727,0.34873,0.32182,3084
replanner/_get_available_requests,0.00078,0.00421,0.00033,103
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,78
replanner/_get_matching_request,1e-05,1e-05,1e-05,2797
replanner/_can_bid,0.0,0.0,0.0,1856
replanner/_schedule_maneuvers,0.81632,0.52247,0.75901,39
replanner/_create_broadcast_path,0.10166,0.05941,0.08479,39
replanner/_schedule_broadcasts,0.10181,0.05941,0.08494,39
replanner/_schedule_waits,0.0,0.0,0.0,39
replanner/generate_plan,0.92058,0.51577,0.80897,39
replanner/_can_access,0.00126,0.00646,0.00026,42
