t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,0.0,2765.318,6514.682,-7.505,0.029,0.069,0.0,SENSING
0.0,0.0,2765.318,6514.682,-7.505,0.029,0.069,0.0,MESSAGING
0.0,0.0,2765.318,6514.682,-7.505,0.029,0.069,0.0,SENSING
0.0,0.0,2765.318,6514.682,-7.505,0.029,0.069,0.0,LISTENING
19.71,-147.802,2765.294,6514.622,-7.503,-0.032,-0.075,0.0,SENSING
19.71,-147.802,2765.294,6514.622,-7.503,-0.032,-0.075,0.0,LISTENING
21.6,-161.972,2765.229,6514.467,-7.503,-0.038,-0.089,0.0,SENSING
21.6,-161.972,2765.229,6514.467,-7.503,-0.038,-0.089,0.0,MANEUVERING
21.6,-161.972,2765.229,6514.467,-7.503,-0.038,-0.089,0.0,LISTENING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,MANEUVERING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,SENSING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,MEASURING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,MESSAGING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,SENSING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,LISTENING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,SENSING
30.0,-224.943,2764.804,6513.461,-7.501,-0.064,-0.15,-8.4,LISTENING
51.65,-387.149,2762.703,6508.494,-7.494,-0.131,-0.309,-8.4,SENSING
51.65,-387.149,2762.703,6508.494,-7.494,-0.131,-0.309,-8.4,LISTENING
60.0,-449.659,2761.505,6505.663,-7.49,-0.157,-0.37,-8.4,SENSING
60.0,-449.659,2761.505,6505.663,-7.49,-0.157,-0.37,-8.4,LISTENING
60.0,-449.659,2761.505,6505.663,-7.49,-0.157,-0.37,-8.4,SENSING
60.0,-449.659,2761.505,6505.663,-7.49,-0.157,-0.37,-8.4,LISTENING
103.21,-772.47,2751.871,6482.9,-7.46,-0.29,-0.684,-8.4,SENSING
103.21,-772.47,2751.871,6482.9,-7.46,-0.29,-0.684,-8.4,MANEUVERING
103.21,-772.47,2751.871,6482.9,-7.46,-0.29,-0.684,-8.4,LISTENING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,MANEUVERING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,SENSING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,MEASURING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,MESSAGING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,SENSING
110.0,-823.067,2749.835,6478.089,-7.454,-0.311,-0.734,-15.19,LISTENING
156.28,-1166.665,2732.195,6436.412,-7.402,-0.453,-1.068,-15.19,SENSING
156.28,-1166.665,2732.195,6436.412,-7.402,-0.453,-1.068,-15.19,LISTENING
170.0,-1268.027,2725.709,6421.09,-7.384,-0.495,-1.167,-15.19,SENSING
170.0,-1268.027,2725.709,6421.09,-7.384,-0.495,-1.167,-15.19,LISTENING
170.0,-1268.027,2725.709,6421.09,-7.384,-0.495,-1.167,-15.19,SENSING
170.0,-1268.027,2725.709,6421.09,-7.384,-0.495,-1.167,-15.19,LISTENING
326.6,-2400.939,2611.666,6151.69,-7.063,-0.961,-2.267,-15.19,SENSING
326.6,-2400.939,2611.666,6151.69,-7.063,-0.961,-2.267,-15.19,LISTENING
327.48,-2407.149,2610.821,6149.694,-7.06,-0.964,-2.273,-15.19,SENSING
327.48,-2407.149,2610.821,6149.694,-7.06,-0.964,-2.273,-15.19,LISTENING
330.0,-2424.92,2608.388,6143.947,-7.054,-0.971,-2.29,-15.19,SENSING
330.0,-2424.92,2608.388,6143.947,-7.054,-0.971,-2.29,-15.19,LISTENING
330.0,-2424.92,2608.388,6143.947,-7.054,-0.971,-2.29,-15.19,SENSING
330.0,-2424.92,2608.388,6143.947,-7.054,-0.971,-2.29,-15.19,LISTENING
