routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00034,0.00185,2e-05,3163
__check_action_completion,6e-05,2e-05,6e-05,3163
preplanner/update_percepts,9e-05,0.00022,9e-05,3163
preplanner/needs_planning,0.0,0.0,0.0,3163
preplanner/calculate_access_opportunities,0.01284,0.0,0.01284,1
preplanner/_schedule_observations,0.04639,0.0,0.04639,1
preplanner/is_observation_path_valid,0.00076,0.0,0.00076,1
preplanner/_create_broadcast_path,0.01375,0.0,0.01375,1
preplanner/_schedule_broadcasts,0.07762,0.0,0.07762,1
preplanner/_schedule_maneuvers,0.18201,0.0,0.18201,1
preplanner/__schedule_periodic_replan,0.00587,0.0,0.00587,1
preplanner/generate_plan,0.32499,0.0,0.32499,1
replanner/compile_new_measurement_request_bids,2e-05,1e-05,2e-05,3163
replanner/update_percepts,0.00059,0.00126,0.00028,3163
replanner/check_request_completion,0.00796,0.00933,0.00526,3163
replanner/check_request_end_time,0.0,0.0,0.0,3163
replanner/compare_bids,0.00431,0.00793,0.00167,3163
replanner/consensus_phase,0.01228,0.0146,0.0089,3163
replanner/needs_planning,0.01232,0.01458,0.00891,3163
replanner/_get_available_requests,0.00034,0.00119,0.0002,348
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,60
replanner/_get_matching_request,1e-05,0.0,1e-05,5166
replanner/_can_bid,0.0,0.0,0.0,5040
replanner/planning_phase,0.00136,0.00381,0.0003,31
replanner/is_observation_path_valid,0.00047,0.00288,0.00021,5733
replanner/merge_plans,0.09318,0.11573,0.0457,31
replanner/_schedule_observations,0.09318,0.11573,0.0457,31
replanner/_schedule_maneuvers,0.08296,0.07176,0.06053,31
replanner/_create_broadcast_path,0.00885,0.00392,0.00681,34
replanner/_schedule_broadcasts,0.0099,0.00403,0.00713,31
replanner/_schedule_waits,0.0,0.0,0.0,31
replanner/generate_plan,0.19266,0.18177,0.11728,31
replanner/_can_access,0.00141,0.00347,0.00057,36
