t_msg,Sender,Message Type
3020.0,therm_sat_0_0,MEASUREMENT_REQ
3020.0,therm_sat_0_0,MEASUREMENT_BID
3020.0,sar_sat_0_0,MEASUREMENT_BID
3020.0,vis_sat_0_1,MEASUREMENT_BID
3020.0,vis_sat_0_0,MEASUREMENT_BID
5360.0,sar_sat_0_0,MEASUREMENT_REQ
5360.0,sar_sat_0_0,MEASUREMENT_BID
5360.0,therm_sat_0_0,MEASUREMENT_BID
5360.0,vis_sat_0_1,MEASUREMENT_BID
5360.0,vis_sat_0_0,MEASUREMENT_BID
6020.0,vis_sat_0_1,MEASUREMENT_REQ
6020.0,vis_sat_0_1,MEASUREMENT_BID
6020.0,therm_sat_0_0,MEASUREMENT_BID
6020.0,vis_sat_0_0,MEASUREMENT_BID
6020.0,sar_sat_0_0,MEASUREMENT_BID
