t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
420.0,0,8657,-22.574002338174523,89.92662854566916,sar,1.0,1,0
420.0,0,8657,-22.574002338174523,89.92662854566916,sar,1.2333333333333334,0,0
430.0,0,8638,-22.68262457828764,90.59295238036611,sar,1.0,1,0
430.0,0,8638,-22.68262457828764,90.59295238036611,sar,1.238888888888889,0,0
440.0,0,8633,-22.8410553295852,90.80961043292533,sar,1.0,1,0
440.0,0,8633,-22.8410553295852,90.80961043292533,sar,1.2444444444444445,0,0
450.0,0,8696,-23.66592093982471,90.3117021302328,sar,1.0,1,0
450.0,0,8696,-23.66592093982471,90.3117021302328,sar,1.25,0,0
460.0,0,8604,-24.88305336535586,90.07307005347332,sar,1.0,1,0
460.0,0,8604,-24.88305336535586,90.07307005347332,sar,1.2555555555555555,0,0
470.0,0,8645,-25.022898601771832,90.27574331288976,sar,1.0,1,0
470.0,0,8645,-25.022898601771832,90.27574331288976,sar,1.261111111111111,0,0
480.0,0,8682,-25.81279674773411,90.70412818087914,sar,1.0,1,0
480.0,0,8682,-25.81279674773411,90.70412818087914,sar,1.2666666666666666,0,0
490.0,0,8651,-25.878545009453138,91.48681441882434,sar,1.0,1,0
490.0,0,8651,-25.878545009453138,91.48681441882434,sar,1.2722222222222221,0,0
1450.0,0,1585,-65.28248279301575,156.63892851031966,sar,1.0,1,0
1450.0,0,1585,-65.28248279301575,156.63892851031966,sar,1.8055555555555556,0,0
1460.0,0,1556,-65.49023982652719,158.3967545595544,sar,1.0,1,0
1460.0,0,1556,-65.49023982652719,158.3967545595544,sar,1.8111111111111111,0,0
1470.0,0,1562,-66.19805798566983,158.35917903124417,sar,1.0,1,0
1470.0,0,1562,-66.19805798566983,158.35917903124417,sar,1.8166666666666667,0,0
1480.0,0,1503,-67.15247122827891,160.24360424049976,sar,1.0,1,0
1480.0,0,1503,-67.15247122827891,160.24360424049976,sar,1.8222222222222222,0,0
1670.0,0,343,-65.76769611010647,-171.1725740205747,sar,1.0,1,0
1670.0,0,343,-65.76769611010647,-171.1725740205747,sar,1.9277777777777778,0,0
1680.0,0,357,-65.5979424171353,-170.5728321533717,sar,1.0,1,0
1680.0,0,357,-65.5979424171353,-170.5728321533717,sar,1.9333333333333333,0,0
1690.0,0,378,-64.9251581149268,-168.71326865479162,sar,1.0,1,0
1690.0,0,378,-64.9251581149268,-168.71326865479162,sar,1.9388888888888889,0,0
3020.0,0,1543,-65.7762171769085,158.83839339613814,visual,2.677777777777778,0,0
3020.0,0,1543,-65.7762171769085,158.83839339613814,visual,8.275943391777469,0,1
3080.0,0,5597,6.405296519868814,-109.3642756863598,sar,1.0,1,0
3080.0,0,5597,6.405296519868814,-109.3642756863598,sar,2.7111111111111112,0,0
3090.0,0,5540,6.333310029914099,-108.5201243125697,sar,1.0,1,0
3090.0,0,5540,6.333310029914099,-108.5201243125697,sar,2.716666666666667,0,0
3100.0,0,5568,6.968705302278369,-108.58288806987208,sar,1.0,1,0
3100.0,0,5568,6.968705302278369,-108.58288806987208,sar,2.7222222222222223,0,0
3110.0,0,5589,7.977260562802346,-108.8978654006284,sar,1.0,1,0
3110.0,0,5589,7.977260562802346,-108.8978654006284,sar,2.727777777777778,0,0
3120.0,0,5554,8.724685611219796,-109.00958092017332,sar,1.0,1,0
3120.0,0,5554,8.724685611219796,-109.00958092017332,sar,2.7333333333333334,0,0
3130.0,0,5588,8.812593254717264,-108.09556819644835,sar,1.0,1,0
3130.0,0,5588,8.812593254717264,-108.09556819644835,sar,2.738888888888889,0,0
3140.0,0,5520,9.45913644748217,-108.32258024995176,sar,1.0,1,0
3140.0,0,5520,9.45913644748217,-108.32258024995176,sar,2.7444444444444445,0,0
3150.0,0,5596,10.096709303962124,-107.46025779551522,sar,1.0,1,0
3150.0,0,5596,10.096709303962124,-107.46025779551522,sar,2.75,0,0
3840.0,0,2148,49.46834579072855,-90.02066326601044,sar,1.0,1,0
3840.0,0,2148,49.46834579072855,-90.02066326601044,sar,3.1333333333333333,0,0
3850.0,0,2106,49.480656225461296,-88.96845809026524,sar,1.0,1,0
3850.0,0,2106,49.480656225461296,-88.96845809026524,sar,3.138888888888889,0,0
3870.0,0,2194,50.58139382399816,-88.48902516818423,sar,1.0,1,0
3870.0,0,2194,50.58139382399816,-88.48902516818423,sar,3.15,0,0
3880.0,0,2160,51.356342818264615,-87.86966658286474,sar,1.0,1,0
3880.0,0,2160,51.356342818264615,-87.86966658286474,sar,3.1555555555555554,0,0
5350.0,0,9920,30.70435363543759,40.83088731415505,sar,1.0,1,0
5350.0,0,9920,30.70435363543759,40.83088731415505,sar,3.9722222222222223,0,0
5360.0,0,9971,30.27279037138461,41.73879514719058,sar,1.0,1,0
5360.0,0,9971,30.27279037138461,41.73879514719058,sar,3.977777777777778,0,0
5360.0,0,9971,30.27279037138461,41.73879514719058,visual,3.977777777777778,0,0
5360.0,0,9971,30.27279037138461,41.73879514719058,visual,10.0,0,1
5370.0,0,9945,29.80779320401262,42.01652699234717,sar,1.0,1,0
5370.0,0,9945,29.80779320401262,42.01652699234717,sar,3.9833333333333334,0,0
5380.0,0,9931,29.447357310426163,41.5295704356149,sar,1.0,1,0
5380.0,0,9931,29.447357310426163,41.5295704356149,sar,3.988888888888889,0,0
5390.0,0,9964,28.8852898313861,42.73107961845712,sar,1.0,1,0
5390.0,0,9964,28.8852898313861,42.73107961845712,sar,3.9944444444444445,0,0
5400.0,0,9952,28.12354511345793,41.69485464493604,sar,1.0,1,0
5400.0,0,9952,28.12354511345793,41.69485464493604,sar,4.0,0,0
5410.0,0,9997,27.417542101807907,42.55159958633755,sar,1.0,1,0
5410.0,0,9997,27.417542101807907,42.55159958633755,sar,4.0055555555555555,0,0
5420.0,0,9956,27.840505377079506,43.85379408829101,sar,1.0,1,0
5420.0,0,9956,27.840505377079506,43.85379408829101,sar,4.011111111111111,0,0
5440.0,0,9905,26.179756166633588,44.26267072471751,sar,1.0,1,0
5440.0,0,9905,26.179756166633588,44.26267072471751,sar,4.022222222222222,0,0
6020.0,0,1598,-65.1724987007123,158.44462394095802,thermal,4.344444444444445,0,0
6020.0,0,1598,-65.1724987007123,158.44462394095802,thermal,10.0,0,1
