routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.001,0.0,5075
update_state,0.0,0.0,0.0,5075
sense_environment,0.041,0.021,0.038,5074
update_state_environment,0.0,0.0,0.0,5074
get_environment_broadcasts,0.001,0.004,0.0,5074
get_agent_broadcasts,0.0,0.002,0.0,5074
sense,0.043,0.02,0.038,5074
think,0.326,3.949,0.018,5074
perform_wait_for_messages,0.647,5.664,0.041,4525
do,0.58,5.352,0.038,5074
perform_state_change,0.035,0.022,0.034,622
perform_observation,0.025,0.016,0.02,546
perform_broadcast,0.001,0.003,0.0,19
