t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,SENSING
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,MESSAGING
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,SENSING
0.0,-7148.78,0.0,0.0,-0.0,-2.903,-6.839,0.0,LISTENING
662.43,-5505.151,-1770.159,-4174.927,4.771,-2.235,-5.262,0.0,SENSING
662.43,-5505.151,-1770.159,-4174.927,4.771,-2.235,-5.262,0.0,LISTENING
670.0,-5468.884,-1786.994,-4214.611,4.817,-2.221,-5.228,0.0,SENSING
670.0,-5468.884,-1786.994,-4214.611,4.817,-2.221,-5.228,0.0,LISTENING
670.0,-5468.884,-1786.994,-4214.611,4.817,-2.221,-5.228,0.0,SENSING
670.0,-5468.884,-1786.994,-4214.611,4.817,-2.221,-5.228,0.0,LISTENING
682.28,-5409.322,-1814.066,-4278.421,4.89,-2.196,-5.17,0.0,SENSING
682.28,-5409.322,-1814.066,-4278.421,4.89,-2.196,-5.17,0.0,LISTENING
690.0,-5371.418,-1830.931,-4318.175,4.936,-2.181,-5.134,0.0,SENSING
690.0,-5371.418,-1830.931,-4318.175,4.936,-2.181,-5.134,0.0,LISTENING
690.0,-5371.418,-1830.931,-4318.175,4.936,-2.181,-5.134,0.0,SENSING
690.0,-5371.418,-1830.931,-4318.175,4.936,-2.181,-5.134,0.0,LISTENING
697.81,-5332.715,-1847.872,-4358.104,4.982,-2.165,-5.097,0.0,SENSING
697.81,-5332.715,-1847.872,-4358.104,4.982,-2.165,-5.097,0.0,LISTENING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,SENSING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,LISTENING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,SENSING
700.0,-5321.798,-1852.6,-4369.248,4.995,-2.161,-5.086,0.0,LISTENING
701.13,-5316.154,-1855.036,-4374.99,5.001,-2.159,-5.081,0.0,SENSING
701.13,-5316.154,-1855.036,-4374.99,5.001,-2.159,-5.081,0.0,LISTENING
710.0,-5271.594,-1874.067,-4419.842,5.053,-2.14,-5.038,0.0,SENSING
710.0,-5271.594,-1874.067,-4419.842,5.053,-2.14,-5.038,0.0,LISTENING
710.0,-5271.594,-1874.067,-4419.842,5.053,-2.14,-5.038,0.0,SENSING
710.0,-5271.594,-1874.067,-4419.842,5.053,-2.14,-5.038,0.0,LISTENING
