stat_name,val
Ground Points,5001.0
Ground Points Observed,476.0
Average Event Reobservation Time [s],23707.708333333332
Standard Deviation of Event Reobservation Time [s],19578.96333223316
Median Event Reobservation Time [s],18350.0
Events,10000.0
Events Detected,132.0
Events Observed,144.0
Observations,524.0
Event Observations,148.0
Events Re-observed,4.0
Event Re-observations,8.0
Events Co-observed,144.0
Events Partially Co-observed,0.0
Events Fully Co-observed,4.0
Event Co-observations,148.0
P(Event Detected),0.0132
P(Event Observed),0.0144
P(Event Re-observed),0.0004
P(Event Co-observed),0.0144
P(Event Partially Co-observed),0.0
P(Event Fully Co-observed),0.0004
P(Event at a GP),0.9786
P(Event Observation | Observation),0.27481
P(Event Observed | Event Detected),1.0
P(Event Re-oberved | Event Detected),0.0303
P(Event Co-observed | Event Detected),1.0
P(Event Co-observed Partially | Event Detected),0.0
P(Event Co-observed Fully | Event Detected),0.0303
